extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
0.0,1.0,1007.82,3830.69,1.16,17.6,-0.047,0.194,90.0,0.064,1.0,1340.0,216.67,1.89e-11,1.71e-12,26.809,27.285,0.098,1.12,11.1,-0.007,0.317,0.033,0.0,2604.9,152.0,8.23e-11,6.57e-12,25.212,25.202,0.087,1.04,12.5,-0.131,-0.034,0.068,0.0
0.0,1.0,993.21,3768.98,1.17,16.1,-0.047,0.078,140.0,0.025,1.0,530.8,219.72,7.45e-12,1.53e-12,27.82,28.414,0.223,1.05,4.9,-0.046,-0.126,0.041,0.0,1921.1,146.57,5.9e-11,3.86e-12,25.573,25.561,0.071,1.27,15.3,-0.049,0.147,0.019,0.0
0.0,1.0,982.33,3815.8,1.09,16.7,-0.123,0.117,25.0,0.044,1.0,1021.7,214.4,1.44e-11,1.66e-12,27.105,27.546,0.126,1.08,8.7,-0.084,0.282,0.044,0.0,1791.7,143.47,5.44e-11,3.88e-12,25.66,25.65,0.077,1.11,14.0,-0.146,-0.01,0.044,0.0
0.0,1.0,997.61,3850.06,1.17,16.0,0.043,0.228,170.0,0.112,1.0,1364.8,220.58,1.91e-11,1.77e-12,26.796,27.083,0.101,1.23,10.8,0.034,0.385,0.045,0.0,1443.6,143.15,4.42e-11,3.77e-12,25.886,25.878,0.093,1.13,11.7,0.051,0.103,0.168,0.0
0.0,1.0,1001.93,3793.26,1.17,14.7,0.035,0.302,110.0,0.211,1.0,1045.8,222.77,1.47e-11,1.68e-12,27.082,27.487,0.124,1.23,8.7,0.063,0.375,0.185,0.0,1595.1,142.52,4.89e-11,4.17e-12,25.778,25.768,0.093,1.11,11.7,0.011,0.231,0.237,0.0
0.0,1.0,1000.35,3785.79,1.12,13.2,0.062,0.149,160.0,0.056,1.0,1081.5,181.77,1.55e-11,2.25e-12,27.024,27.375,0.157,0.91,6.9,0.01,0.185,0.01,0.0,1406.0,138.45,4.31e-11,4.05e-12,25.913,25.904,0.102,1.2,10.7,0.114,0.037,0.066,0.0
0.0,1.0,1025.79,3825.34,0.87,10.9,-0.064,0.421,140.0,0.125,1.0,473.5,210.87,6.66e-12,1.57e-12,27.942,28.339,0.255,0.74,4.3,-0.121,0.535,0.179,0.0,682.4,148.75,2.16e-11,4.65e-12,26.666,26.657,0.234,0.98,4.6,-0.123,0.528,0.135,0.0
0.0,1.0,1015.01,3885.99,1.16,14.6,-0.099,0.373,85.0,0.072,1.0,1153.0,215.83,1.63e-11,1.68e-12,26.972,27.278,0.112,1.18,9.7,-0.175,0.509,0.07,0.0,1294.9,139.1,3.96e-11,3.64e-12,26.006,25.998,0.1,1.16,10.9,-0.037,0.274,0.073,0.0
0.0,1.0,986.18,3768.66,1.11,12.1,-0.109,0.062,155.0,0.211,1.0,978.5,220.54,1.37e-11,1.65e-12,27.16,27.446,0.131,1.25,8.3,-0.107,0.078,0.158,0.0,1016.1,146.44,3.15e-11,3.8e-12,26.253,26.245,0.131,0.93,8.3,-0.107,0.067,0.262,0.0
0.0,1.0,994.67,3898.49,1.19,11.3,0.033,0.367,75.0,0.026,1.0,649.8,189.83,9.31e-12,2.14e-12,27.577,27.98,0.25,1.36,4.3,0.003,0.632,0.025,0.0,1000.3,146.65,3.08e-11,3.51e-12,26.28,26.271,0.124,1.14,8.8,-0.023,0.242,0.029,0.0
0.0,1.0,1046.23,3775.52,1.3,10.7,0.064,0.175,15.0,0.096,1.0,547.6,210.91,7.74e-12,1.56e-12,27.778,28.253,0.218,1.35,5.0,0.001,0.295,0.143,0.0,1062.7,146.01,3.36e-11,5e-12,26.185,26.175,0.162,1.44,6.7,0.233,0.09,0.053,0.0
