extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
0.0,1.0,1972.28,4416.82,1.07,633.0,0.013,0.016,165.0,0.0,1.0,1070000.0,961.0,3.48e-09,7.96e-12,21.146,21.447,0.002,1.25,436.9,0.016,0.021,0.0,0.0,1120000.0,882.6,8.35e-09,1.82e-11,20.196,20.188,0.002,0.85,458.0,0.01,0.011,0.001,0.0
0.0,1.0,1113.91,4348.21,1.01,112.5,-0.028,0.042,100.0,0.043,1.0,46821.4,768.91,1.55e-10,2.02e-12,24.527,24.871,0.014,1.14,76.6,-0.033,0.026,0.044,0.0,56014.8,600.61,4.22e-10,5.12e-12,23.437,23.428,0.013,0.87,82.4,-0.022,0.059,0.043,0.0
0.0,1.0,1763.32,4685.89,1.06,116.7,-0.013,0.023,20.0,0.01,1.0,36363.1,768.48,1.19e-10,1.74e-12,24.813,25.27,0.016,1.07,68.1,-0.033,0.023,0.01,0.0,63906.6,600.91,4.78e-10,5.05e-12,23.301,23.291,0.011,1.06,94.8,0.004,0.023,0.009,0.0
0.0,1.0,1111.5,4343.55,1.1,111.6,-0.017,0.017,20.0,0.046,1.0,43830.2,775.14,1.45e-10,1.93e-12,24.597,24.946,0.014,1.16,75.1,-0.016,0.011,0.044,0.0,53178.2,613.96,4e-10,4.85e-12,23.494,23.485,0.013,1.02,82.6,-0.017,0.023,0.048,0.0
0.0,1.0,2255.45,4562.98,1.03,85.1,0.006,0.021,170.0,0.026,1.0,36595.0,772.92,1.2e-10,1.77e-12,24.807,24.922,0.016,1.01,67.7,0.022,0.034,0.038,0.0,24222.8,589.15,1.81e-10,3.51e-12,24.354,24.347,0.021,1.05,51.6,-0.014,0.006,0.013,0.0
0.0,1.0,1415.69,4641.58,0.98,81.7,-0.021,0.008,40.0,0.023,1.0,39335.0,775.92,1.28e-10,1.81e-12,24.728,24.73,0.015,1.02,70.8,-0.021,-0.022,0.02,0.0,17631.5,577.49,1.32e-10,3.25e-12,24.699,24.693,0.027,0.94,40.6,-0.02,0.05,0.027,0.0
0.0,1.0,4953.27,4552.03,1.36,80.1,-0.027,0.032,10.0,0.106,1.0,39704.7,823.37,1.3e-10,1.83e-12,24.718,24.694,0.015,1.45,71.0,-0.037,0.025,0.1,0.0,15445.1,592.8,1.16e-10,3.11e-12,24.842,24.837,0.029,1.27,37.2,-0.012,0.041,0.116,0.0
0.0,1.0,4838.31,4997.62,0.99,79.4,-0.01,0.034,125.0,0.031,1.0,22563.3,790.32,7.37e-11,1.52e-12,25.332,25.754,0.022,1.1,48.3,0.017,-0.008,0.039,0.0,34818.9,607.71,2.61e-10,4.15e-12,23.959,23.95,0.017,0.86,62.9,-0.036,0.073,0.024,0.0
0.0,1.0,2319.21,4682.43,1.1,65.0,0.007,0.068,40.0,0.009,1.0,8638.2,756.43,2.82e-11,1.18e-12,26.374,26.974,0.045,1.32,23.9,0.014,0.155,0.011,0.0,31303.2,574.59,2.34e-10,3.88e-12,24.076,24.064,0.018,0.83,60.4,0.003,0.019,0.008,0.0
0.0,1.0,1260.15,4583.84,1.19,66.1,-0.011,0.073,160.0,0.005,1.0,28682.6,765.19,9.37e-11,1.64e-12,25.071,25.08,0.019,1.09,57.3,-0.015,0.064,0.003,0.0,13306.6,566.64,9.96e-11,3.01e-12,25.005,24.998,0.033,1.28,33.1,-0.004,0.087,0.009,0.0
