e,c,x,y,Chi,SN,Sharp,Round,MA,Crowd,T,Counts,Bkgrd,inst_vega_mag1,m_V,mag1_err,Chi.1,SN.1,Sharp.1,Round.1,Crowd.1,FWHM,Ellip,PSFa,PSFb,PSFc,Eflag,Counts.1,Bkgrd.1,inst_vega_mag2,m_I,mag2_err,Chi.2,SN.2,Sharp.2,Round.2,Crowd.2,FWHM.1,Ellip.1,PSFa.1,PSFb.1,PSFc.1,Eflag.1
0.0,1.0,2869.28,949.0,1.13,230.9,0.016,0.023,80.0,0.021,1.0,150099.9,3152.01,24.294,24.326,0.005,1.13,204.0,0.016,0.022,0.019,1.0,0.0,1.0,1.0,0.0,0.0,58005.6,1682.98,24.123,24.117,0.01,1.13,108.1,0.016,0.026,0.025,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,3839.18,1248.14,1.33,230.8,0.01,0.094,85.0,0.067,1.0,142513.9,2916.51,24.349,24.449,0.006,1.31,189.8,0.011,0.092,0.069,1.0,0.0,1.0,1.0,0.0,2.0,68993.4,1554.73,23.935,23.927,0.008,1.35,131.4,0.009,0.097,0.065,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3490.29,2068.96,1.44,228.8,0.021,0.168,95.0,0.149,1.0,91321.0,2863.3,24.832,25.265,0.007,1.64,145.0,0.029,0.221,0.196,1.0,0.0,1.0,1.0,0.0,0.0,111218.1,1525.43,23.416,23.406,0.006,1.2,176.9,0.013,0.11,0.098,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,2999.78,845.69,1.21,215.8,0.016,0.108,175.0,0.067,1.0,74160.3,3133.92,25.062,25.553,0.01,1.26,112.5,0.02,0.128,0.075,1.0,0.0,1.0,1.0,0.0,0.0,112876.5,1666.51,23.401,23.39,0.006,1.13,179.5,0.01,0.073,0.053,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3998.98,3112.85,1.26,223.1,-0.001,0.037,30.0,0.046,1.0,139093.6,2856.56,24.387,24.414,0.006,1.33,196.5,-0.004,0.028,0.042,1.0,0.0,1.0,1.0,0.0,0.0,52523.1,1521.68,24.24,24.233,0.01,1.12,105.4,0.005,0.054,0.052,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,3719.09,2022.61,1.41,228.1,-0.008,0.024,165.0,0.069,1.0,136679.9,2997.86,24.394,24.464,0.006,1.54,193.3,-0.007,0.009,0.066,1.0,0.0,1.0,1.0,0.0,0.0,60230.5,1565.83,24.081,24.074,0.009,1.2,121.0,-0.009,0.047,0.073,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3826.07,1997.0,1.15,210.3,0.012,0.038,135.0,0.03,1.0,65049.5,2969.28,25.199,25.715,0.01,1.2,111.2,0.018,0.046,0.036,1.0,0.0,1.0,1.0,0.0,2.0,111081.4,1579.5,23.417,23.407,0.006,1.1,178.4,0.008,0.031,0.025,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3616.88,1934.03,1.26,204.1,0.004,0.055,100.0,0.056,1.0,87209.3,2951.17,24.881,25.295,0.008,1.25,132.9,0.001,0.074,0.052,1.0,0.0,1.0,1.0,0.0,2.0,98668.8,1562.91,23.546,23.536,0.007,1.26,154.9,0.008,0.035,0.061,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,3297.33,2181.44,1.61,158.5,0.017,0.273,110.0,0.163,1.0,75161.2,2827.19,25.037,25.487,0.013,2.03,85.4,0.014,0.468,0.231,1.0,0.0,1.0,1.0,0.0,0.0,98186.7,1539.85,23.551,23.541,0.008,1.24,133.5,0.019,0.132,0.116,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3749.76,1641.63,1.41,210.7,-0.001,0.013,145.0,0.082,1.0,129372.1,3002.79,24.454,24.459,0.006,1.36,186.7,0.003,0.016,0.067,1.0,0.0,1.0,1.0,0.0,0.0,44529.3,1605.96,24.409,24.403,0.011,1.47,97.4,-0.01,0.009,0.107,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3803.12,1299.53,1.97,196.4,-0.019,0.155,65.0,0.194,1.0,125732.0,2958.33,24.486,24.476,0.006,2.2,174.3,-0.01,0.202,0.176,1.0,0.0,1.0,1.0,0.0,0.0,40112.1,1544.63,24.523,24.517,0.012,1.53,90.4,-0.032,0.08,0.222,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3689.08,1488.82,1.19,195.7,0.006,0.037,45.0,0.098,1.0,111720.2,3112.32,24.614,24.668,0.006,1.19,167.9,0.01,0.03,0.084,1.0,0.0,1.0,1.0,0.0,0.0,46793.3,1639.67,24.355,24.349,0.011,1.18,100.6,-0.001,0.046,0.119,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,2982.89,858.03,1.23,170.9,-0.018,0.07,55.0,0.077,1.0,53526.8,3123.22,25.414,25.929,0.012,1.16,87.7,-0.017,0.134,0.106,1.0,0.0,1.0,1.0,0.0,2.0,91159.9,1644.37,23.633,23.622,0.007,1.28,146.6,-0.018,0.019,0.054,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,3802.78,1311.95,1.29,190.7,0.014,0.033,130.0,0.113,1.0,113503.9,2993.31,24.597,24.592,0.006,1.24,170.3,0.009,0.006,0.097,1.0,0.0,1.0,1.0,0.0,0.0,37364.8,1569.24,24.6,24.594,0.013,1.36,85.7,0.023,0.082,0.142,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3671.92,1579.31,1.19,184.3,0.006,0.089,100.0,0.04,1.0,63922.1,3062.89,25.219,25.679,0.01,1.17,109.7,0.004,0.082,0.046,1.0,0.0,1.0,1.0,0.0,2.0,86435.6,1627.97,23.69,23.68,0.007,1.22,148.1,0.008,0.094,0.034,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3970.62,1818.27,1.23,184.2,0.016,0.032,130.0,0.068,1.0,74301.9,2902.51,25.055,25.435,0.009,1.23,120.7,0.015,0.002,0.069,1.0,0.0,1.0,1.0,0.0,2.0,75099.3,1534.99,23.842,23.833,0.008,1.23,139.1,0.018,0.062,0.068,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3704.92,2053.15,1.5,185.7,-0.001,0.068,120.0,0.12,1.0,62204.7,3007.32,25.248,25.705,0.01,1.55,113.0,-0.004,0.093,0.15,1.0,0.0,1.0,1.0,0.0,0.0,82920.1,1583.27,23.734,23.724,0.007,1.44,147.3,0.002,0.041,0.089,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3779.28,2358.65,1.21,174.6,-0.004,0.037,95.0,0.136,1.0,100497.7,2567.77,24.739,24.707,0.007,1.24,159.3,-0.002,0.032,0.111,1.0,0.0,1.0,1.0,0.0,0.0,27933.8,1390.72,24.923,24.918,0.015,1.16,71.3,-0.008,0.045,0.181,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3781.51,1301.28,1.26,169.1,0.009,0.015,160.0,0.095,1.0,60050.3,3048.82,25.287,25.724,0.01,1.19,110.1,0.016,0.022,0.096,1.0,0.0,1.0,1.0,0.0,0.0,74009.9,1595.88,23.858,23.849,0.008,1.34,128.2,0.001,0.006,0.096,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,3677.59,1275.14,1.33,170.3,0.003,0.06,170.0,0.07,1.0,97099.1,3083.82,24.766,24.778,0.007,1.4,149.8,-0.001,0.048,0.058,1.0,0.0,1.0,1.0,0.0,2.0,34584.1,1605.54,24.684,24.677,0.013,1.2,80.9,0.009,0.081,0.089,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,4083.16,1949.45,2.39,166.6,0.043,0.819,170.0,0.34,1.0,100465.5,2694.98,24.728,24.703,0.007,2.71,150.6,0.053,0.842,0.319,1.0,0.0,1.0,1.0,0.0,0.0,29210.2,1425.78,24.865,24.86,0.015,1.68,71.0,0.025,0.778,0.377,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3936.04,3176.53,1.13,171.5,-0.007,0.092,155.0,0.08,1.0,64415.1,2821.86,25.222,25.615,0.009,1.21,117.6,-0.001,0.126,0.093,1.0,0.0,1.0,1.0,0.0,0.0,67771.1,1495.03,23.964,23.954,0.009,1.01,124.8,-0.014,0.05,0.065,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,3687.57,2074.78,1.45,161.6,-0.039,0.189,165.0,0.079,1.0,45800.0,3041.17,25.58,26.076,0.012,1.65,87.0,-0.059,0.277,0.111,1.0,0.0,1.0,1.0,0.0,2.0,71824.1,1596.85,23.89,23.88,0.008,1.24,136.1,-0.022,0.113,0.052,1.0,0.0,1.0,1.0,0.0,0.0
