extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
0.0,1.0,96.7,25.41,4.38,43.1,0.067,0.1369999999999999,110.0,0.091,1.0,25712.9,958.02,9.85e-11,2.31e-12,25.016,25.284,0.025,10.28,42.7,0.356,0.243,0.091,0.0,2342.9,2333.98,6.66e-12,1.2e-12,27.942,27.941,0.196,1.41,5.5,-0.447,-0.012,0.09,0.0
0.0,1.0,189.96,19.6,2.31,39.2,0.061,0.153,70.0,0.036,1.0,21412.6,967.27,8.2e-11,2.14e-12,25.215,25.339,0.0279999999999999,4.79,38.4,0.392,-0.1169999999999999,0.002,0.0,3392.3,2342.9,9.64e-12,1.22e-12,27.54,27.539,0.138,1.28,7.9,-0.346,0.475,0.077,0.0
0.0,1.0,92.81,98.81,1.54,29.4,0.045,0.316,175.0,0.14,1.0,647.5,1004.12,2.59e-12,7.26e-13,28.967,29.404,0.305,1.22,3.6,0.066,0.946,0.026,0.0,3351.8,2407.62,9.62e-12,9.72e-13,27.542,27.532,0.11,1.37,9.9,0.042,0.179,0.057,0.0
0.0,1.0,173.79,59.55,2.04,27.7,0.0409999999999999,0.33,175.0,0.304,1.0,13846.9,939.62,5.31e-11,1.97e-12,25.688,25.765,0.04,3.83,27.0,0.253,-0.102,0.371,0.0,2727.1,2364.81,7.749999999999999e-12,1.23e-12,27.777,27.775,0.173,1.43,6.3,-0.211,0.8440000000000001,0.2239999999999999,0.0
0.0,1.0,89.65,126.1,1.1,20.4,-0.129,0.575,0.0,0.222,1.0,1663.3,996.15,6.620000000000001e-12,7.41e-13,27.948,28.292,0.122,1.08,8.9,-0.124,2.53,0.1159999999999999,0.0,6318.3,2412.94,1.8e-11,1.06e-12,26.86,26.851,0.064,1.08,17.0,-0.139,-0.121,0.245,0.0
0.0,1.0,153.35,132.91,1.06,16.1,0.061,0.483,150.0,0.272,1.0,732.8,998.0,2.8700000000000005e-12,7.18e-13,28.857,29.373,0.272,1.08,4.0,-0.221,0.456,0.295,0.0,5205.0,2427.19,1.49e-11,9.98e-13,27.071,27.06,0.073,1.05,14.9,0.107,0.492,0.268,0.0
0.0,1.0,147.11,126.31,1.02,17.1,0.002,0.3779999999999999,25.0,0.023,1.0,1485.4,1004.66,5.93e-12,7.62e-13,28.068,28.378,0.139,0.91,7.8,-0.124,-0.119,0.016,0.0,5122.2,2431.77,1.46e-11,9.86e-13,27.089,27.08,0.073,1.04,14.8,0.042,0.531,0.025,0.0
0.0,1.0,154.57,139.16,0.98,16.8,-0.0969999999999999,0.512,105.0,0.114,1.0,1198.9,999.95,4.74e-12,7.329999999999999e-13,28.31,28.682,0.168,1.03,6.5,0.089,1.713,0.061,0.0,4944.4,2429.24,1.41e-11,9.75e-13,27.125,27.116,0.075,0.98,14.5,-0.145,0.166,0.129,0.0
0.0,1.0,246.29,76.06,1.14,15.6,0.093,0.431,105.0,0.281,1.0,1537.6,984.16,6.08e-12,7.48e-13,28.04,28.217,0.134,1.24,8.1,0.182,0.178,0.113,0.0,3720.9,2402.42,1.06e-11,9.640000000000001e-13,27.436,27.429,0.099,1.09,11.0,0.052,0.513,0.351,0.0
0.0,1.0,100.18,157.0,0.91,17.2,0.011,0.304,55.0,0.042,1.0,1213.3,1001.06,4.76e-12,7.430000000000002e-13,28.305,28.702,0.1689999999999999,0.65,6.4,-0.192,0.487,0.024,0.0,5394.3,2413.83,1.54e-11,9.85e-13,27.03,27.021,0.069,0.97,15.6,0.059,0.259,0.046,0.0
0.0,1.0,205.05,97.4,1.02,16.6,-0.003,0.129,125.0,0.0819999999999999,1.0,1105.0,1002.7,4.42e-12,7.290000000000001e-13,28.388,28.791,0.179,1.07,6.1,0.138,0.078,0.02,0.0,5103.8,2420.78,1.46e-11,9.77e-13,27.09,27.08,0.073,1.0,14.9,-0.035,0.145,0.0969999999999999,0.0
0.0,1.0,214.08,31.86,1.09,11.9,-0.0409999999999999,0.3979999999999999,110.0,0.154,1.0,820.8,960.4,3.14e-12,1.28e-12,28.756,29.252,0.441,1.02,2.5,0.131,-0.482,0.281,0.0,5225.8,2333.41,1.49e-11,1.29e-12,27.07,27.06,0.094,1.11,11.5,-0.057,0.4679999999999999,0.142,0.0
0.0,1.0,200.96,78.32,1.11,15.7,-0.054,0.231,0.0,0.206,1.0,1191.1,996.35,4.72e-12,7.499999999999999e-13,28.315,28.673,0.172,1.19,6.3,-0.0069999999999999,0.087,0.084,0.0,4713.6,2416.71,1.35e-11,9.890000000000001e-13,27.176,27.167,0.08,1.08,13.6,-0.067,0.2789999999999999,0.238,0.0
0.0,1.0,90.23,184.04,1.09,15.3,0.01,0.479,140.0,0.057,1.0,492.8,990.64,1.95e-12,7.09e-13,29.272,29.853,0.3939999999999999,1.02,2.8,-0.094,0.286,0.15,0.0,4996.4,2447.28,1.43e-11,9.81e-13,27.114,27.102,0.075,1.11,14.6,0.021,0.511,0.046,0.0
0.0,1.0,95.93,157.4,1.06,14.6,0.021,0.526,120.0,0.04,1.0,913.7,1001.51,3.59e-12,7.279999999999999e-13,28.613000000000003,29.032,0.22,1.03,4.9,0.004,0.5770000000000001,0.038,0.0,4393.3,2416.03,1.25e-11,9.69e-13,27.254,27.245,0.084,1.07,12.9,0.023,0.523,0.04,0.0
0.0,1.0,96.67,139.45,1.17,13.8,-0.048,0.412,175.0,0.222,1.0,509.4,1005.28,2.03e-12,8.58e-13,29.229,29.781,0.4579999999999999,1.27,2.4,-0.138,0.18,0.18,0.0,4435.9,2384.58,1.26e-11,1.03e-12,27.246,27.235,0.088,1.16,12.3,-0.033,0.4589999999999999,0.23,0.0
0.0,1.0,235.89,44.89,0.97,10.5,0.016,0.497,155.0,0.368,1.0,641.9,954.54,2.46e-12,1.21e-12,29.023000000000003,29.546,0.5329999999999999,1.0,2.0,-0.059,2.391,0.254,0.0,4649.5,2322.85,1.32e-11,1.28e-12,27.198,27.187,0.106,0.97,10.3,0.023,0.3329999999999999,0.3779999999999999,0.0
0.0,1.0,218.53,97.04,1.14,12.9,0.1939999999999999,0.1,140.0,0.105,1.0,752.6,992.07,3.02e-12,7.13e-13,28.801,29.199,0.257,0.89,4.2,0.017,0.575,0.051,0.0,3429.2,2401.73,9.77e-12,9.62e-13,27.525,27.516,0.107,1.21,10.2,0.238,-0.019,0.12,0.0
0.0,1.0,137.19,99.41,1.1,12.6,-0.15,0.175,30.0,0.043,1.0,1080.5,995.12,4.39e-12,8.75e-13,28.394,28.588,0.217,1.07,5.0,-0.087,-0.109,0.149,0.0,2793.0,2413.6,7.97e-12,9.53e-13,27.747,27.739,0.13,1.08,8.4,-0.158,0.282,0.019,0.0
0.0,1.0,158.44,181.3,1.13,13.9,0.015,0.267,110.0,0.065,1.0,822.3,980.6,3.21e-12,7.240000000000001e-13,28.735,29.184,0.245,1.27,4.4,0.0139999999999999,-0.045,0.087,0.0,4381.0,2432.79,1.25e-11,9.85e-13,27.256,27.246,0.085,1.08,12.7,0.0139999999999999,0.326,0.061,0.0
0.0,1.0,223.11,82.86,1.07,13.3,-0.107,0.757,55.0,0.108,1.0,485.1,974.18,1.96e-12,6.95e-13,29.27,29.817,0.385,1.09,2.8,-0.016,0.863,0.192,0.0,4135.2,2381.28,1.18e-11,9.520000000000002e-13,27.319000000000003,27.308000000000003,0.088,1.05,12.4,-0.12,0.568,0.098,0.0
0.0,1.0,162.65,106.07,1.18,11.3,-0.025,0.432,70.0,0.25,1.0,733.5,975.7,2.97e-12,8.41e-13,28.817,29.127,0.307,0.99,3.5,-0.141,0.491,0.168,0.0,2566.2,2443.52,7.33e-12,9.48e-13,27.838,27.829,0.14,1.19,7.7,0.026,0.447,0.284,0.0
0.0,1.0,187.2,84.85,1.05,11.4,0.18,0.203,55.0,0.22,1.0,450.5,996.19,1.79e-12,7.04e-13,29.366,29.88,0.427,0.95,2.5,-0.025,0.2,0.3429999999999999,0.0,3225.8,2418.68,9.19e-12,9.660000000000001e-13,27.592,27.582,0.114,1.08,9.5,0.214,0.177,0.1989999999999999,0.0
0.0,1.0,127.9,25.49,0.93,9.1,0.115,0.387,50.0,0.066,1.0,1085.8,942.24,4.16e-12,1.26e-12,28.452,28.739,0.3289999999999999,1.0,3.3,-0.084,0.1369999999999999,0.045,0.0,3376.4,2342.48,9.6e-12,1.24e-12,27.545,27.536,0.141,0.92,7.7,0.153,0.441,0.07,0.0
0.0,1.0,84.3,105.96,1.23,12.9,-0.054,0.067,40.0,0.127,1.0,778.2,1007.3,3.13e-12,7.18e-13,28.761,29.189,0.249,1.23,4.4,-0.25,-0.099,0.102,0.0,3948.5,2443.01,1.13e-11,9.67e-13,27.37,27.36,0.093,1.22,11.7,-0.013,0.104,0.133,0.0
0.0,1.0,111.6,157.72,1.09,12.7,-0.083,0.1939999999999999,130.0,0.064,1.0,585.4,995.39,2.34e-12,7.170000000000002e-13,29.075,29.576,0.332,0.93,3.3,0.2339999999999999,-1.528,0.069,0.0,3976.3,2407.96,1.1399999999999999e-11,9.56e-13,27.362,27.352,0.091,1.14,11.9,-0.134,0.484,0.064,0.0
0.0,1.0,214.21,26.7,1.04,8.0,0.1119999999999999,0.821,55.0,0.264,1.0,770.2,959.33,2.95e-12,1.2500000000000001e-12,28.825,29.209,0.4589999999999999,1.23,2.4,-0.198,-0.441,0.253,0.0,3213.0,2337.06,9.13e-12,1.2500000000000001e-12,27.599,27.59,0.148,0.99,7.3,0.157,0.977,0.265,0.0
0.0,1.0,165.86,77.45,1.08,12.2,0.018,0.198,160.0,0.062,1.0,789.7,977.21,3.22e-12,7.25e-13,28.731,29.116,0.245,1.15,4.4,-0.142,0.669,0.091,0.0,3515.8,2411.39,1e-11,9.520000000000002e-13,27.497,27.487,0.103,1.05,10.5,0.057,0.07,0.055,0.0
0.0,1.0,223.59,69.6,1.07,9.1,-0.103,0.5770000000000001,80.0,0.07,1.0,670.2,1000.49,2.57e-12,8.93e-13,28.975,29.259,0.377,1.08,2.9,-0.171,-0.763,0.113,0.0,2069.0,2368.65,5.9e-12,1.04e-12,28.073,28.065,0.191,1.07,5.7,-0.079,0.92,0.062,0.0
