e,c,x,y,Chi,SN,Sharp,Round,MA,Crowd,T,Counts,Bkgrd,inst_vega_mag1,m_V,mag1_err,Chi.1,SN.1,Sharp.1,Round.1,Crowd.1,FWHM,Ellip,PSFa,PSFb,PSFc,Eflag,Counts.1,Bkgrd.1,inst_vega_mag2,m_I,mag2_err,Chi.2,SN.2,Sharp.2,Round.2,Crowd.2,FWHM.1,Ellip.1,PSFa.1,PSFb.1,PSFc.1,Eflag.1
0.0,1.0,1171.68,1334.78,1.55,482.8,0.031,0.048,80.0,0.012,1.0,378155.1,2754.18,23.291,23.611,0.003,1.71,346.7,0.037,0.064,0.009,1.0,0.0,1.0,1.0,0.0,2.0,315871.6,1470.07,22.283,22.275,0.003,1.34,336.0,0.024,0.03,0.014,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,2900.65,3794.19,1.35,462.8,0.005,0.008,145.0,0.024,1.0,172721.4,2712.14,24.153,24.754,0.005,1.33,227.1,0.011,-0.002,0.016,1.0,0.0,1.0,1.0,0.0,0.0,475250.6,1451.02,21.85,21.838,0.003,1.38,403.3,-0.002,0.019,0.034,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,1331.34,1211.58,1.47,483.3,0.023,0.022,85.0,0.006,1.0,418024.2,2781.44,23.182,23.368,0.003,1.59,384.6,0.032,0.04,0.006,1.0,0.0,1.0,1.0,0.0,0.0,246062.8,1484.37,22.555,22.547,0.004,1.27,292.7,0.011,-0.002,0.006,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1807.19,547.65,1.36,423.7,0.003,0.01,165.0,0.035,1.0,296381.7,2900.24,23.555,23.898,0.003,1.45,311.6,0.005,0.004,0.023,1.0,0.0,1.0,1.0,0.0,0.0,265638.4,1564.02,22.472,22.463,0.004,1.24,286.7,0.001,0.017,0.057,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1169.74,899.0,1.19,406.5,0.014,0.017,95.0,0.012,1.0,116880.8,2766.98,24.565,25.185,0.006,1.26,170.4,0.025,0.033,0.008,1.0,0.0,1.0,1.0,0.0,2.0,369859.7,1476.22,22.112,22.1,0.003,1.13,369.0,0.004,0.003,0.016,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1473.8,1863.34,1.11,367.3,0.005,0.03,105.0,0.061,1.0,57947.0,2532.5,25.326,26.004,0.011,1.11,100.4,0.008,0.056,0.101,1.0,0.0,1.0,1.0,0.0,2.0,346462.7,1341.26,22.183,22.169,0.003,1.11,353.2,0.003,0.012,0.036,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1204.97,948.16,1.23,343.0,0.017,0.006,95.0,0.015,1.0,46708.7,2784.88,25.56,26.243,0.011,1.2,96.5,0.031,0.028,0.011,1.0,0.0,1.0,1.0,0.0,0.0,306525.1,1496.64,22.316,22.302,0.003,1.25,329.1,0.007,-0.011,0.018,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1176.06,1345.38,1.31,350.4,0.023,0.037,75.0,0.022,1.0,208444.8,2744.86,23.936,24.289,0.004,1.44,244.2,0.024,0.047,0.021,1.0,0.0,1.0,1.0,0.0,2.0,192960.4,1464.6,22.818,22.809,0.004,1.14,251.2,0.021,0.026,0.023,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1974.06,1487.43,1.32,333.4,0.017,0.03,75.0,0.021,1.0,133208.4,2784.56,24.424,24.945,0.006,1.18,183.3,0.019,0.048,0.026,1.0,0.0,1.0,1.0,0.0,2.0,233920.7,1487.58,22.609,22.599,0.004,1.45,278.5,0.015,0.012,0.017,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,2806.42,1855.63,1.2,287.1,0.012,0.016,140.0,0.011,1.0,85907.5,2942.38,24.898,25.461,0.007,1.21,144.8,0.017,0.037,0.006,1.0,0.0,1.0,1.0,0.0,0.0,186748.9,1570.64,22.854,22.842,0.004,1.2,247.9,0.006,-0.005,0.016,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,801.33,1540.58,1.39,266.6,0.028,0.053,85.0,0.021,1.0,136426.9,2676.36,24.396,24.777,0.006,1.4,188.6,0.03,0.061,0.013,1.0,0.0,1.0,1.0,0.0,2.0,138195.2,1420.19,23.181,23.172,0.006,1.37,168.7,0.029,0.041,0.016,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,497.48,2230.81,1.36,240.1,-0.001,0.037,85.0,0.029,1.0,51967.3,2564.22,25.454,26.065,0.011,1.31,96.8,-0.001,0.039,0.031,1.0,0.0,1.0,1.0,0.0,2.0,152913.0,1363.58,23.08,23.068,0.005,1.39,219.7,-0.001,0.035,0.028,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1003.77,3463.79,1.09,232.2,0.01,0.008,10.0,0.011,1.0,41194.4,2562.22,25.708,26.343,0.013,1.13,86.5,0.017,0.016,0.008,1.0,0.0,1.0,1.0,0.0,0.0,147400.6,1377.93,23.121,23.108,0.005,1.06,215.5,0.004,0.003,0.013,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,671.69,2192.99,1.25,222.1,0.008,0.031,25.0,0.085,1.0,46529.5,2333.82,25.574,26.182,0.012,1.2,92.0,-0.002,0.085,0.121,1.0,0.0,1.0,1.0,0.0,2.0,134689.4,1246.44,23.218,23.206,0.005,1.29,202.1,0.015,-0.011,0.056,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,729.64,2234.21,1.29,230.3,0.011,0.013,60.0,0.105,1.0,79072.1,2240.75,24.999,25.488,0.008,1.28,131.9,0.013,0.033,0.138,1.0,0.0,1.0,1.0,0.0,2.0,119910.1,1190.06,23.344,23.333,0.006,1.31,188.8,0.01,-0.007,0.073,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1585.53,2119.56,1.2,153.9,0.036,0.04,85.0,0.234,1.0,33299.3,2190.87,25.919,26.546,0.021,1.24,51.5,0.049,0.109,0.367,1.0,0.0,1.0,1.0,0.0,0.0,111367.6,1094.08,23.415,23.402,0.007,1.17,145.0,0.028,0.001,0.162,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,2472.73,2195.1,1.22,140.4,0.001,0.039,60.0,0.017,1.0,91643.6,2806.78,24.838,25.211,0.01,1.31,106.2,0.003,-0.006,0.01,1.0,0.0,1.0,1.0,0.0,0.0,90253.2,1446.26,23.651,23.641,0.012,1.04,91.9,-0.003,0.118,0.029,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,589.29,588.56,1.07,214.5,0.0,0.014,135.0,0.027,1.0,81312.7,2730.22,24.959,25.38,0.008,1.12,140.2,0.002,0.003,0.038,1.0,0.0,1.0,1.0,0.0,0.0,94506.5,1466.31,23.594,23.584,0.007,1.01,162.4,-0.002,0.026,0.015,1.0,0.0,1.0,1.0,0.0,0.0
