extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
0.0,1.0,2305.87,3733.34,0.99,571.5,0.026,0.009,20.0,0.0,1.0,433487.6,446.04,2.01e-09,4.85e-12,21.741,21.672,0.003,1.19,414.8,0.03,0.0,0.0,0.0,401216.9,391.99,4.94e-09,1.26e-11,20.766,20.759,0.003,0.74,393.2,0.018,0.018,0.0,0.0
0.0,1.0,2501.43,3301.61,0.89,492.8,0.006,0.008,35.0,0.0,1.0,268130.0,423.08,1.24e-09,3.85e-12,22.263,22.173,0.003,1.04,323.1,0.004,0.013,0.0,0.0,358880.3,382.57,4.42e-09,1.19e-11,20.888,20.879,0.003,0.71,372.2,0.011,0.002,0.0,0.0
0.0,1.0,2968.52,1855.11,1.81,285.2,0.021,0.027,10.0,0.0,1.0,68168.4,407.28,3.18e-10,2.09e-12,23.745,23.624,0.007,1.65,152.2,0.043,0.013,0.0,0.0,158398.0,357.86,1.96e-09,8.13e-12,21.769,21.759,0.005,1.94,241.1,-0.025,0.041,0.0,0.0
0.0,1.0,2090.18,3165.77,0.82,272.6,-0.004,0.016,15.0,0.004,1.0,39266.7,383.75,1.82e-10,1.64e-12,24.348,24.193,0.01,0.89,111.1,-0.005,0.033,0.004,0.0,169607.5,351.72,2.09e-09,8.38e-12,21.701,21.69,0.004,0.75,249.0,-0.001,0.002,0.004,0.0
0.0,1.0,2969.63,2526.05,1.11,279.0,0.026,0.012,90.0,0.005,1.0,102559.2,407.89,4.76e-10,2.47e-12,23.306,23.226,0.006,1.37,192.3,0.033,0.023,0.007,0.0,114938.9,331.66,1.41e-09,7e-12,22.124,22.116,0.005,0.77,202.0,0.009,0.001,0.0,0.0
0.0,1.0,3832.15,1251.64,2.09,198.6,-0.025,0.023,135.0,0.033,1.0,43252.2,401.31,2.01e-10,1.74e-12,24.241,24.135,0.009,2.66,115.4,-0.042,0.028,0.048,0.0,77119.3,337.9,9.54e-10,5.92e-12,22.551,22.542,0.007,1.21,161.3,0.008,0.02,0.002,0.0
0.0,1.0,3444.64,362.24,0.92,136.3,-0.005,0.026,150.0,0.014,1.0,21041.5,405.18,9.81e-11,1.3e-12,25.021,24.909,0.014,0.86,75.3,-0.01,0.037,0.013,0.0,41980.3,322.36,5.2e-10,4.58e-12,23.211,23.202,0.01,0.96,113.5,0.005,0.016,0.015,0.0
0.0,1.0,3930.21,1521.9,1.12,116.7,0.009,0.003,100.0,0.002,1.0,21663.0,403.77,1.01e-10,1.33e-12,24.991,24.899,0.014,1.26,75.8,0.012,0.028,0.002,0.0,30037.8,315.96,3.72e-10,4.19e-12,23.574,23.566,0.012,0.93,88.7,0.002,-0.022,0.002,0.0
0.0,1.0,2505.74,2280.56,2.14,92.6,-0.109,0.045,85.0,0.35,1.0,5375.0,403.58,2.49e-11,9.14e-13,26.509,26.335,0.04,1.53,27.2,-0.093,0.088,0.393,0.0,32210.6,361.51,3.96e-10,4.48e-12,23.505,23.493,0.012,2.6,88.5,-0.128,0.021,0.296,0.0
0.0,1.0,4165.51,3758.27,3.15,114.1,-0.114,0.091,70.0,0.198,1.0,29868.4,395.72,1.38e-10,1.53e-12,24.647,24.594,0.012,3.19,90.6,-0.1,0.09,0.179,0.0,20487.5,321.52,2.52e-10,3.66e-12,23.996,23.989,0.016,3.07,68.8,-0.15,0.093,0.25,0.0
0.0,1.0,3543.87,1322.13,2.12,112.3,-0.11,0.003,120.0,0.069,1.0,24915.9,416.15,1.16e-10,1.39e-12,24.838,24.772,0.013,1.8,83.2,-0.089,0.015,0.065,0.0,21750.2,337.57,2.69e-10,3.57e-12,23.925,23.917,0.014,2.4,75.4,-0.16,-0.011,0.079,0.0
0.0,1.0,2690.32,2489.71,3.83,62.3,0.222,0.189,80.0,0.006,1.0,720.0,380.74,3.34e-12,6.5e-13,28.69,28.439,0.211,1.24,5.1,-0.308,0.567,0.018,0.0,17287.8,294.64,2.13e-10,3.45e-12,24.18,24.166,0.018,5.41,61.7,0.417,0.127,0.002,0.0
0.0,1.0,2322.92,4001.82,0.93,88.6,0.011,0.043,40.0,0.016,1.0,6196.0,360.15,2.88e-11,9.18e-13,26.352,26.2,0.035,1.23,31.4,0.017,0.133,0.026,0.0,25199.4,290.78,3.1e-10,3.74e-12,23.771,23.761,0.013,0.59,82.8,0.003,-0.01,0.004,0.0
0.0,1.0,3559.25,3973.11,2.37,83.9,-0.067,0.063,105.0,0.28,1.0,6467.2,387.96,3e-11,9.29e-13,26.306,26.156,0.034,1.55,32.3,-0.054,0.087,0.267,0.0,25575.4,357.93,3.15e-10,4.07e-12,23.755,23.744,0.014,2.98,77.4,-0.086,0.047,0.301,0.0
