extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
1.0,1.0,1793.87,1476.93,0.78,1484.2,0.006,0.011,100.0,0.016,1.0,899352.5,722.93,5.02e-09,5.93e-12,20.747,21.246,0.001,0.9,847.6,0.005,0.02,0.013,0.0,1900000.0,896.25,2.4e-08,1.97e-11,19.048,19.037,0.001,0.63,1218.3,0.008,0.001,0.018,0.0
1.0,1.0,2202.66,1930.9,0.94,1032.8,0.001,0.007,95.0,0.014,1.0,428251.4,632.17,2.4e-09,4.15e-12,21.55,22.058,0.002,1.1,578.2,0.001,0.012,0.012,0.0,945897.1,635.76,1.2e-08,1.4e-11,19.803,19.793,0.001,0.73,855.6,0.001,0.001,0.017,0.0
1.0,1.0,3802.02,77.66,2.72,305.1,-0.124,0.032,125.0,0.094,1.0,77615.1,648.9,4.33e-10,1.93e-12,23.41,23.65,0.005,2.64,224.3,-0.124,0.036,0.088,0.0,69734.1,500.67,8.81e-10,4.26e-12,22.638,22.63,0.005,2.81,206.7,-0.124,0.03,0.101,0.0
1.0,1.0,485.07,80.76,1.99,257.4,-0.085,0.028,65.0,0.089,1.0,57160.9,587.45,3.19e-10,1.69e-12,23.742,23.981,0.006,1.88,188.7,-0.084,0.03,0.087,0.0,51165.3,447.8,6.46e-10,3.7e-12,22.974,22.966,0.006,2.1,174.8,-0.087,0.025,0.091,0.0
1.0,1.0,2768.78,84.84,0.99,229.6,0.004,0.019,45.0,0.017,1.0,8979.8,600.54,5.01e-11,8.71e-13,25.751,26.431,0.019,1.11,57.5,-0.005,0.061,0.011,0.0,74875.9,476.15,9.46e-10,4.25e-12,22.561,22.547,0.005,0.87,222.2,0.008,-0.006,0.02,0.0
1.0,1.0,2085.81,499.89,1.63,231.9,0.007,0.011,120.0,0.002,1.0,40222.5,590.7,2.25e-10,1.44e-12,24.12,24.469,0.007,1.36,156.1,-0.001,0.02,0.001,0.0,49182.6,449.84,6.23e-10,3.63e-12,23.014,23.005,0.006,1.84,171.4,0.015,0.001,0.003,0.0
1.0,1.0,2848.37,930.16,1.35,201.2,0.004,0.034,140.0,0.0,1.0,5173.7,570.98,2.94e-11,7.76e-13,26.329,27.021,0.029,1.01,37.9,0.027,0.077,0.001,0.0,60226.9,445.56,7.66e-10,3.88e-12,22.79,22.775,0.006,1.58,197.4,-0.007,0.015,0.0,0.0
1.0,1.0,2315.02,121.69,1.13,187.6,-0.011,0.044,40.0,0.017,1.0,4173.3,590.17,2.33e-11,7.31e-13,26.582,27.275,0.034,1.25,31.9,0.006,0.112,0.013,0.0,54189.0,461.5,6.85e-10,3.71e-12,22.912,22.897,0.006,1.0,184.7,-0.018,0.02,0.019,0.0
1.0,1.0,3396.52,1560.41,3.33,179.4,-0.131,0.11,160.0,0.281,1.0,35067.7,625.45,1.98e-10,1.47e-12,24.258,24.477,0.008,3.25,134.4,-0.123,0.123,0.251,0.0,29852.2,486.26,3.83e-10,3.23e-12,23.542,23.535,0.009,3.43,118.4,-0.14,0.096,0.316,0.0
1.0,1.0,366.48,63.96,2.21,147.2,-0.13,0.063,170.0,0.197,1.0,25364.9,606.64,1.41e-10,1.27e-12,24.624,24.821,0.01,2.34,111.2,-0.119,0.071,0.193,0.0,20482.2,476.28,2.59e-10,2.69e-12,23.968,23.96,0.011,2.11,96.1,-0.143,0.053,0.202,0.0
1.0,1.0,2320.46,1104.09,1.26,146.7,0.024,0.021,100.0,0.008,1.0,22332.7,568.69,1.26e-10,1.18e-12,24.75,24.994,0.01,1.19,106.9,0.035,0.025,0.01,0.0,20281.9,427.01,2.6e-10,2.59e-12,23.965,23.956,0.011,1.35,100.4,0.013,0.017,0.005,0.0
1.0,1.0,3156.55,1320.54,1.04,136.2,0.0,0.028,85.0,0.002,1.0,21637.9,570.27,1.22e-10,1.16e-12,24.781,24.942,0.01,1.15,105.6,-0.006,0.038,0.001,0.0,15972.1,419.96,2.05e-10,2.39e-12,24.219,24.211,0.013,0.92,86.0,0.007,0.017,0.003,0.0
1.0,1.0,167.33,965.67,1.71,121.7,-0.079,0.026,0.0,0.3,1.0,18412.6,551.91,1.04e-10,1.17e-12,24.96,25.219,0.012,1.61,88.6,-0.058,0.009,0.272,0.0,17372.0,428.72,2.22e-10,2.67e-12,24.134,24.125,0.013,1.84,83.3,-0.101,0.047,0.33,0.0
1.0,1.0,52.46,1864.6,1.09,120.9,-0.077,0.046,170.0,0.125,1.0,12158.7,647.11,6.95e-11,1.04e-12,25.394,25.868,0.016,0.98,66.6,-0.074,0.044,0.12,0.0,23254.7,585.87,3e-10,2.97e-12,23.809,23.799,0.011,1.19,100.8,-0.08,0.047,0.13,0.0
1.0,1.0,2922.72,630.19,1.91,132.4,-0.126,0.131,145.0,0.013,1.0,21999.4,620.04,1.23e-10,1.15e-12,24.772,24.843,0.01,1.88,107.4,-0.12,0.132,0.012,0.0,13369.4,466.52,1.7e-10,2.2e-12,24.422,24.415,0.014,1.96,77.3,-0.134,0.13,0.014,0.0
1.0,1.0,3746.5,1321.36,1.16,110.9,0.017,0.047,115.0,0.003,1.0,14238.5,570.98,8.08e-11,1.02e-12,25.232,25.505,0.014,1.22,79.1,0.011,0.048,0.001,0.0,13947.1,424.41,1.8e-10,2.31e-12,24.365,24.356,0.014,1.1,77.6,0.024,0.044,0.005,0.0
1.0,1.0,513.81,1088.84,1.66,105.5,-0.107,0.014,140.0,0.01,1.0,16304.8,573.83,9.2e-11,1.08e-12,25.09,25.177,0.013,1.85,84.8,-0.091,-0.036,0.004,0.0,10203.0,441.65,1.31e-10,2.1e-12,24.706,24.699,0.017,1.44,62.5,-0.124,0.072,0.017,0.0
