galaxy,gal_ra,gal_dec,eddtip,EBV,A555/606,A814,field,fd_ra,fd_dec,filter,inc,pos_ang,dist2nuc,int_ext,red_lim,faint_lim,slope_bc,inter_bc,slope_ac,inter_ac
M101,210.80227,54.34895,25.08,0.0074,0.016909,0.0110038,M101,210.8283333,54.1558333,F606W,8.0,29.0,22.540055758382515,0.0107250791632466,0.3059052,27.30000000000012,-5.000000000000007,28.900000000000052,-5.000000000000007,29.700000000000067
M66,170.06235,12.99154,26.32,0.0287,0.0655795,0.0426769,M66,170.1311667,12.9958361,F606W,57.0,7.0,24.02360675977596,0.0101659179010637,0.3229026,27.400000000000095,-5.000000000000007,31.000000000000085,-5.000000000000007,31.500000000000092
M96,161.69058,11.81994,26.3,0.0217,0.0495845,0.0322679,M96,161.7684484,11.8245514,F606W,47.0,135.0,19.11144099849296,0.0123195887395941,0.3173165999999999,27.50000000000012,-5.000000000000007,31.000000000000085,-5.000000000000007,31.30000000000009
NGC1309,50.52733,-15.40006,,0.0344,0.0922608,0.0511528,NGC1309,50.5220333,-15.3970389,F555W,46.0,175.0,4.872395270317277,0.0388310365644705,0.641108,28.200000000000124,-3.0,30.900000000000084,-1.2999999999999985,30.300000000000075
NGC1316,50.67383,-37.20823,27.42,0.0179,0.0409015,0.0266173,NGC1316,50.802175,-37.3226694,F606W,44.0,48.0,70.91592730068481,0.0040950377946784,0.3142841999999999,28.60000000000013,-5.000000000000007,32.60000000000011,-5.000000000000007,33.20000000000012
NGC1365,53.40155,-36.1404,27.43,0.0176,0.040216,0.0261712,NGC1365,53.4642833,-36.2013889,F606W,41.0,50.0,35.76103078634115,0.0072781042286877,0.3140447999999999,28.60000000000014,-5.000000000000007,31.70000000000009,-5.000000000000007,32.0000000000001
NGC1404,54.71633,-35.59439,27.31,0.0097,0.0221645,0.0144239,NGC1404,54.6946799,-35.5678725,F606W,26.0,163.0,10.310771036166622,0.0206879822394491,0.3077406,28.60000000000004,-5.000000000000007,32.2000000000001,-5.000000000000007,32.2000000000001
NGC1448,56.133,-44.64483,27.35,0.012,0.02742,0.017844,NGC1448,56.1107833,-44.60395,F606W,78.0,44.0,63.1693978959077,0.0045129137694747,0.3095759999999999,28.300000000000125,-5.800000000000004,31.800000000000097,-5.000000000000007,32.0000000000001
NGC3021,147.73812,33.55363,,0.0117,0.0313794,0.0173979,NGC3021,147.7527683,33.5562528,F555W,60.0,105.0,7.892399493887002,0.0258956659610024,0.6139815,28.200000000000117,-2.7,31.200000000000088,-2.9,31.900000000000098
NGC3370,161.76688,17.27362,,0.0264,0.0708048,0.0392568,NGC3370,161.7825,17.2764722,F555W,56.0,155.0,13.942974427812995,0.0160555110137923,0.631548,28.20000000000011,-3.0,30.40000000000008,-1.899999999999999,31.000000000000085
NGC4038,180.47088,-18.86761,27.72,0.0398,0.090943,0.0591826,NGC4038,180.3604633,-18.9892639,F606W,44.0,159.0,81.10335861558856,0.0036583905761011,0.3317603999999999,27.80000000000011,-5.000000000000007,30.60000000000008,-5.000000000000007,31.500000000000092
