galaxy,gal_ra,gal_dec,field,fd_ra,fd_dec,TRGB,TRGB_err,R,R_err,R_pm1,N,EDR_value,percentage,FWHM,slope,tip_color,A555/606,A814,int_ext,inc,pos_ang,dist2nuc
M101,210.80227,54.34895,M101,210.8283333,54.1558333,25.080000000000886,0.07566807388721174,4.771929824561403,0.49153576082269346,6.502415458937198,1346.0,0.24332591041961876,1.0,0.19,4.654064454884714,1.2892399999999997,0.016909,0.0110038,0.0,8.0,29.0,22.540055758382515
M66,170.06235,12.99154,M66,170.1311667,12.9958361,26.23900000000097,0.040757952585559,6.1122715404699735,0.3369039458561509,12.644396551724139,5867.0,0.33481076844178254,1.0,0.43,3.5900443405504787,1.4848004484304933,0.0655795,0.0426769,0.0,57.0,7.0,24.02360675977596
M66,170.06235,12.99154,M66,170.1311667,12.9958361,26.50900000000101,0.5320871468836915,2.6178137651821864,0.08757073566221005,4.787900355871886,6727.0,0.22483277186637185,0.671521925393108,0.24,3.265105789513108,1.4382679671457905,0.0655795,0.0426769,0.0,57.0,7.0,24.02360675977596
M96,161.69058,11.81994,M96,161.7684484,11.8245514,26.161000000000953,0.040091300973732265,6.877697841726619,0.6243294269924811,15.12290502793296,2707.0,0.20746926940323634,1.0,0.41,3.9779202480064217,1.4322066666666668,0.0495845,0.0322679,0.0,47.0,135.0,19.11144099849296
M96,161.69058,11.81994,M96,161.7684484,11.8245514,26.461000000001,0.35008620568816884,3.294238683127572,0.17060921573860444,6.074204946996466,3438.0,0.20503369027749238,0.9882605306667843,0.26,3.5657536759083253,1.3993458823529412,0.0495845,0.0322679,0.0,47.0,135.0,19.11144099849296
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,26.68400000000012,0.04,18.0,10.677078252031311,58.6,293.0,0.08348544379462823,0.6171885360927982,0.18,1.687681996444799,2.9712500000000004,0.0922608,0.0511528,0.0,46.0,175.0,4.872395270317277
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.02400000000017,0.040214301035760534,6.695652173913044,1.4967705846100436,25.076923076923077,652.0,0.10478644339026764,0.774661889053424,0.2,1.33756979976232,2.874,0.0922608,0.0511528,0.0,46.0,175.0,4.872395270317277
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.37400000000023,0.12218096803414563,4.358695652173913,0.503864666962893,10.452830188679245,1108.0,0.10734578566472075,0.7935825132956079,0.22,1.358551009946329,2.586316455696203,0.0922608,0.0511528,0.0,46.0,175.0,4.872395270317277
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.614000000000267,0.46960264271608726,3.0572916666666665,0.254176816755008,5.982683982683983,1382.0,0.13526732742501177,1.0,0.26,1.3406027146025694,2.42334693877551,0.0922608,0.0511528,0.0,46.0,175.0,4.872395270317277
NGC1316,50.67383,-37.20823,NGC1316,50.802175,-37.3226694,27.407000000000487,0.040280808610963954,6.494252873563219,0.5288763476897737,14.253588516746412,2979.0,0.25830656396562013,1.0,0.33,4.581844708588534,1.5432918918918916,0.0409015,0.0266173,0.0,44.0,48.0,70.91592730068481
NGC1365,53.40155,-36.1404,NGC1365,53.4642833,-36.2013889,27.46100000000102,0.3218209351007377,3.377176015473888,0.1690941496354619,5.639817629179332,3711.0,0.24322207221353132,1.0,0.46,4.3986907421093235,1.3003594080338268,0.040216,0.0261712,0.0,41.0,50.0,35.76103078634115
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,26.8100000000001,0.04081596687259679,6.3076923076923075,1.8830146565100787,22.642857142857142,317.0,0.06802304879026379,0.8665048547829015,0.13,56.91462805791126,1.2736666666666667,0.0221645,0.0144239,0.0,26.0,163.0,10.310771036166622
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,26.920000000000122,0.04001516826127802,7.625,2.027400197913574,19.3,386.0,0.0691281903881974,0.8805825913275339,0.16,9.267398029040416,1.3561764705882349,0.0221645,0.0144239,0.0,26.0,163.0,10.310771036166622
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,27.120000000000154,0.0470919455230391,5.514285714285714,1.0130806293262322,10.644444444444444,479.0,0.0785027901630241,1.0,0.17,2.7984174466853253,1.5082499999999996,0.0221645,0.0144239,0.0,26.0,163.0,10.310771036166622
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,27.300000000000182,0.5828388169424898,2.9125,0.3774115169480126,5.728260869565218,527.0,0.08002402912275741,1.0193781514844786,0.23,4.270347504920064,1.3592638888888888,0.0221645,0.0144239,0.0,26.0,163.0,10.310771036166622
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,27.36200000000094,0.43630595887990786,3.1099656357388317,0.2095802702081796,4.458233890214797,1868.0,0.17519404988189524,1.0,0.34,4.494478509749895,1.3066244541484715,0.02742,0.017844,0.0,78.0,44.0,63.1693978959077
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,26.855000000000253,0.04688825237785713,5.583333333333333,1.75016533610505,16.3125,261.0,0.08796877276162883,0.8691444891521817,0.17,6.3168626987410095,2.001222222222223,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.265000000000313,0.26834747241976176,3.760869565217391,0.6238904839061141,9.089285714285714,509.0,0.1012130593469437,1.0,0.24,2.8867664108651208,1.9960465116279074,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.635000000000375,0.7982779187716715,2.2598425196850394,0.24084383697072922,4.226415094339623,672.0,0.09456484584442146,0.9343146670457502,0.15,3.0815793093960626,1.8423714285714288,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.94500000000042,0.8956429950223752,1.8009708737864079,0.15648547440287902,2.6203389830508477,773.0,0.1072727649411947,1.0598707877555524,0.15,2.704606423130747,1.7699915966386557,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,26.65200000000018,0.14512739332353122,4.357142857142857,1.291229666820792,14.166666666666666,255.0,0.06540461185109711,0.9185331732710853,0.19,2.1395883273570147,2.556333333333333,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.05200000000024,0.16741461949878864,4.17948717948718,0.7450279682064752,8.320754716981131,441.0,0.05484909950413764,0.7702930419233419,0.38,2.571390451084959,2.2634166666666666,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.412000000000297,0.7668975935421162,2.3577981651376145,0.2695053292636415,4.942028985507246,682.0,0.10681361028748422,1.5000753254108359,0.19,2.158247978725386,2.1687294117647062,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.952000000000382,0.9035155000985037,1.702290076335878,0.13250495569484447,2.2335958005249346,851.0,0.1056796313716888,1.4841498849492456,0.22,2.166347342477679,1.920342342342342,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,26.697000000000976,0.11551816245077107,4.252083333333333,0.21569797560740867,13.204737732656515,7804.0,0.22491690854543478,1.0,0.3,4.317557198662531,1.4005307692307691,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,26.847000000001003,0.2554041721008394,3.5076726342710995,0.14219434821505267,11.049060542797495,10585.0,0.21621783703772832,0.9613231767946464,0.19,3.5276422643236707,1.377842276422764,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,27.08700000000104,0.40690421252149045,2.9258777633289985,0.08642080512639577,7.6879283078545075,14584.0,0.2226592615074019,0.9899623062906503,0.23,2.4917277261706228,1.344960302457467,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,27.507000000001106,0.5130656909686326,2.546103038309115,0.04884056968368295,2.7816411682892905,14000.0,0.4091685045360733,1.8191985083834568,0.52,-99.0,1.2280545239035954,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4258,184.7396,47.30397,NGC4258-1,184.8291667,47.3333333,25.30400000000033,0.040049877733449146,7.0508474576271185,0.5663107755556785,16.38095238095238,4128.0,0.29163358990816496,1.0,0.26,2.7120322447745973,2.116404255319149,0.0378162,0.0209667,0.0,61.0,160.0,18.48763623849455
NGC4258,184.7396,47.30397,NGC4258-1,184.8291667,47.3333333,25.494000000000355,0.09421270780866135,4.462441314553991,0.23920753262155608,9.897003745318353,5285.0,0.18872322470728065,0.6471244439528017,0.14,2.4431313417661022,2.068080291970803,0.0378162,0.0209667,0.0,61.0,160.0,18.48763623849455
NGC4258,184.7396,47.30397,NGC4258-1,184.8291667,47.3333333,25.724000000000395,0.5048334643393865,2.7103377686796315,0.10145446154638672,5.984084880636605,6768.0,0.20083751528589647,0.6886638653288873,0.28,2.331365748982133,1.9870295358649792,0.0378162,0.0209667,0.0,61.0,160.0,18.48763623849455
NGC4258,184.7396,47.30397,NGC4258-10,184.6073157,47.2086766,25.28100000000032,0.04000000022414812,11.3125,2.950478311329368,22.272727272727273,490.0,0.14999507138952073,1.0,0.24,5.183017238044909,1.320333333333333,0.0322185,0.0209667,0.0,61.0,160.0,33.15894786321558
NGC4258,184.7396,47.30397,NGC4258-2,184.672956,47.491544,25.327000000000375,0.0962178735567919,4.523489932885906,0.40949675372844474,8.355855855855856,1855.0,0.1528461698786032,1.0,0.22,1.8801976252846415,2.2369411764705887,0.0378162,0.0209667,0.0,61.0,160.0,26.273954241696767
NGC4258,184.7396,47.30397,NGC4258-2,184.672956,47.491544,25.567000000000412,0.40322543694199137,3.1806451612903226,0.2071087356869291,5.54014598540146,2277.0,0.1527784274284976,0.9995567932767998,0.38,1.6851024540883288,2.1281054687500003,0.0378162,0.0209667,0.0,61.0,160.0,26.273954241696767
NGC4258,184.7396,47.30397,NGC4258-3,184.84,47.45,25.202000000000176,0.04145875761147788,6.1,1.4715637940639883,12.10344827586207,351.0,0.09077046435844535,0.8868885126487301,0.13,1.7047817047817078,2.165999999999999,0.0378162,0.0209667,0.0,61.0,160.0,34.809440448443915
NGC4258,184.7396,47.30397,NGC4258-3,184.84,47.45,25.3720000000002,0.056068246671726954,5.205882352941177,0.9747864536219554,9.53191489361702,448.0,0.1023470966912803,1.0,0.25,1.7941699996660532,1.981351351351351,0.0378162,0.0209667,0.0,61.0,160.0,34.809440448443915
NGC4258,184.7396,47.30397,NGC4258-4_G1,184.879161,47.353293,25.324000000000282,0.047057464466195346,5.404255319148936,0.49544185361141874,10.773684210526316,2047.0,0.1966806110077878,1.0,0.39,2.091096770600369,2.023115107913669,0.0378162,0.0209667,0.0,61.0,160.0,29.1592018756835
NGC4258,184.7396,47.30397,NGC4258-4_G2,184.918385,47.32009,25.340000000000387,0.040120593954955215,6.869565217391305,1.084079367916909,13.85,831.0,0.17589001696076498,1.0,0.32,2.19027032681206,1.9664705882352942,0.0378162,0.0209667,0.0,61.0,160.0,33.0534913558453
NGC4258,184.7396,47.30397,NGC4258-5,184.6405942,47.2485588,25.431000000000182,0.040044143000103734,7.125,0.6945659615904021,18.44927536231884,2546.0,0.23061205405852855,1.0,0.32,4.067953290652079,1.3868550724637678,0.0322185,0.0209667,0.0,61.0,160.0,22.93214725609772
NGC4258,184.7396,47.30397,NGC4258-5,184.6405942,47.2485588,25.81100000000024,0.5714374002285205,2.615514333895447,0.12628048737599581,5.0,3375.0,0.16161599471181015,0.7008133003784467,0.32,4.037656713667913,1.2839088785046726,0.0322185,0.0209667,0.0,61.0,160.0,22.93214725609772
NGC4258,184.7396,47.30397,NGC4258-6,184.9011597,47.2432783,25.393000000000136,0.04000000000003553,14.104166666666666,2.1066941125640515,51.745098039215684,2639.0,0.19369842816882762,0.9023057646518715,0.24,3.967173869526978,1.3891351351351353,0.0322185,0.0209667,0.0,61.0,160.0,25.9322454908549
NGC4258,184.7396,47.30397,NGC4258-6,184.9011597,47.2432783,25.693000000000183,0.05041135311675859,5.2125435540069684,0.3359066666476722,12.741721854304636,3848.0,0.21467049835768315,1.0,0.34,4.088285681563661,1.3043630573248408,0.0322185,0.0209667,0.0,61.0,160.0,25.9322454908549
NGC4258,184.7396,47.30397,NGC4258-6,184.9011597,47.2432783,25.943000000000218,0.5445704242291491,2.651282051282051,0.11140465951869989,5.2552941176470584,4467.0,0.18311846493896333,0.8530211013618278,0.31,4.18868805322265,1.2498845500848896,0.0322185,0.0209667,0.0,61.0,160.0,25.9322454908549
NGC4258,184.7396,47.30397,NGC4258-7,184.852268,47.3228289,25.252000000000564,0.04002253818671701,7.326923076923077,0.6253753993221817,15.702222222222222,3533.0,0.26004324957414654,1.0,0.22,5.078221326857725,1.4460000000000002,0.0322185,0.0209667,0.0,61.0,160.0,21.559072428559176
