galaxy,gal_ra,gal_dec,field,fd_ra,fd_dec,TRGB,TRGB_err,R,R_err,R_pm1,N,EDR_value,percentage,FWHM,slope,tip_color,A555/606,A814,int_ext,inc,pos_ang,dist2nuc
M101,210.80227,54.34895,M101,210.8283333,54.1558333,25.07000000000089,0.23114395117950923,3.7884615384615383,0.34101002285127197,5.23321554770318,1481.0,0.12318624847190852,1.0,0.55,4.457927584729575,1.290490909090909,0.016909,0.0110038,0.0107250791632466,8.0,29.0,22.540055758382515
M66,170.06235,12.99154,M66,170.1311667,12.9958361,26.237000000000968,0.05068618795743581,5.146762589928057,0.21335257321929924,9.911214953271028,8484.0,0.29949612974990303,1.0,0.68,2.425775792256376,1.6311595273264403,0.0655795,0.0426769,0.0101659179010637,57.0,7.0,24.02360675977596
M96,161.69058,11.81994,M96,161.7684484,11.8245514,26.241000000000966,0.052561797804537395,5.127717391304348,0.2922049005462299,9.927789934354486,4537.0,0.21200675716770123,1.0,0.74,2.385661449387591,1.6329803921568629,0.0495845,0.0322679,0.0123195887395941,47.0,135.0,19.11144099849296
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,26.741000000000327,0.04094072718486083,6.1923076923076925,1.308801304901678,19.685714285714287,689.0,0.06207593307415177,0.826636283033732,0.48,2.1350214615533774,2.5602608695652185,0.0922608,0.0511528,0.0388310365644705,46.0,175.0,4.872395270317277
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.13100000000039,0.24345834548128445,3.75,0.4061164310337068,10.92741935483871,1355.0,0.07509461458228621,1.0,0.34,2.647503445756866,2.2440526315789473,0.0922608,0.0511528,0.0388310365644705,46.0,175.0,4.872395270317277
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.551000000000457,0.5992865204213232,2.619047619047619,0.16795742489405913,5.0047846889952154,2092.0,0.10141369262320551,1.350478901680489,0.79,1.6418132480864505,2.1606481481481485,0.0922608,0.0511528,0.0388310365644705,46.0,175.0,4.872395270317277
NGC1316,50.67383,-37.20823,NGC1316,50.802175,-37.3226694,27.431000000001198,0.05044572976598122,5.196132596685083,0.2982264636877437,10.856492027334852,4766.0,0.21930219953172037,1.0,0.8,2.948148225751129,1.6806694444444445,0.0409015,0.0266173,0.0040950377946784,44.0,48.0,70.91592730068481
NGC1365,53.40155,-36.1404,NGC1365,53.4642833,-36.2013889,27.38100000000101,0.19965464396228305,3.8125,0.18100738071968225,6.488681757656458,4873.0,0.20555364886874697,1.0,0.68,3.6502819072001813,1.3874072398190043,0.040216,0.0261712,0.0072781042286877,41.0,50.0,35.76103078634115
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,27.16000000000016,0.09648827976084574,4.603174603174603,0.6398461004256732,8.375,670.0,0.0815410570695718,1.0,0.69,2.1513087128002875,1.598033333333333,0.0221645,0.0144239,0.0206879822394491,26.0,163.0,10.310771036166622
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,26.479000000001065,0.30989674414742496,3.5753424657534247,0.4733792278196624,8.049019607843137,821.0,0.06875394099890324,1.0,0.75,4.707281179646608,1.5300793650793652,0.02742,0.017844,0.0045129137694747,78.0,44.0,63.1693978959077
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,27.3390000000012,0.5194245371302346,2.83,0.16461242358947273,4.102649006622516,2478.0,0.12853426769112547,1.8694821827475439,0.57,3.770783312664694,1.3518375451263536,0.02742,0.017844,0.0045129137694747,78.0,44.0,63.1693978959077
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.196000000000332,0.34618668120276164,3.4705882352941178,0.42724247054606657,7.373831775700935,789.0,0.07341406237715248,1.0,1.06,2.9536714972839406,1.980129032258065,0.0313794,0.0173979,0.0258956659610024,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.936000000000448,0.8953264180590542,1.5483870967741935,0.10299140921255877,2.1470588235294117,1168.0,0.04557277397380225,0.6207635498997418,0.4,2.2157453181108204,1.7524374999999999,0.0313794,0.0173979,0.0258956659610024,60.0,105.0,7.892399493887002
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,26.1300000000008,0.3939578093496893,3.5714285714285716,1.0798984943120777,7.217391304347826,166.0,0.037784488389883714,1.0,0.38,4.621848739495771,2.178181818181819,0.0708048,0.0392568,0.0160555110137923,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.330000000000986,0.6707352370819519,2.543859649122807,0.22960787274282532,4.5344827586206895,1052.0,0.07408331921944691,1.9606807548909864,0.83,2.794559938491073,1.964955357142857,0.0708048,0.0392568,0.0160555110137923,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,28.000000000001087,0.8863749669204022,1.5429184549356223,0.09175817038052023,1.7955493741307371,1291.0,0.054880478179373006,1.4524605338858183,0.41,2.317846575557253,1.7254703389830508,0.0708048,0.0392568,0.0160555110137923,56.0,155.0,13.942974427812995
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,26.77700000000106,0.2500023026706796,3.5060048038430747,0.11246589906942381,8.648998060762766,13380.0,0.2679442311693377,1.0,0.94,2.5603137817369883,1.4650572597137015,0.090943,0.0591826,0.0036583905761011,44.0,159.0,81.10335861558856
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,27.50700000000117,0.6384296436135688,1.8698340383989587,0.02954837784905124,2.0163056137898905,17312.0,0.2582865140499272,0.9639562416504988,0.57,-99.0,1.2314737459665592,0.090943,0.0591826,0.0036583905761011,44.0,159.0,81.10335861558856
NGC4258,184.7396,47.30397,NGC4258-1,184.8291667,47.3333333,25.404000000000345,0.043958945222330126,5.5242914979757085,0.27011051888835136,11.004491017964073,7351.0,0.2724819729572272,1.0,0.73,2.159171829516916,2.2098194444444443,0.0378162,0.0209667,0.0126678329964179,61.0,160.0,18.48763623849455
NGC4258,184.7396,47.30397,NGC4258-10,184.6073157,47.2086766,25.27500000000063,0.04000032037110763,8.875,1.9109402681228245,18.5625,594.0,0.09587534643495779,1.0,0.52,6.343169353541549,1.271533333333333,0.0322185,0.0209667,0.0077549333845903,61.0,160.0,33.15894786321558
NGC4258,184.7396,47.30397,NGC4258-2,184.672956,47.491544,25.39700000000039,0.2601571948353594,3.6167664670658684,0.2235918420011228,5.811359026369169,2865.0,0.14414844145278602,1.0,0.7,2.0071410162634074,2.146327067669173,0.0378162,0.0209667,0.0094293406540938,61.0,160.0,26.273954241696767
NGC4258,184.7396,47.30397,NGC4258-3,184.84,47.45,25.323000000000384,0.1445562148991246,4.28,0.6722856535729437,8.164179104477611,547.0,0.07723728241224173,1.0,0.51,1.93944984650748,1.9036842105263152,0.0378162,0.0209667,0.0074448710398428,61.0,160.0,34.809440448443915
NGC4258,184.7396,47.30397,NGC4258-4_G1,184.879161,47.353293,25.34800000000031,0.07059306827773075,4.784,0.3326899818149023,8.712166172106825,2936.0,0.17382105812638435,1.0,0.64,1.8480488071731678,2.073728448275862,0.0378162,0.0209667,0.0086391529577349,61.0,160.0,29.1592018756835
NGC4258,184.7396,47.30397,NGC4258-4_G2,184.918385,47.32009,25.278000000000304,0.0407889406377602,6.21875,0.8375149398154413,12.125,1067.0,0.11874743812987183,1.0,0.57,2.24834517798952,2.0336307692307694,0.0378162,0.0209667,0.0077757113335681,61.0,160.0,33.0534913558453
NGC4258,184.7396,47.30397,NGC4258-5,184.6405942,47.2485588,25.441000000000187,0.04370671912973888,5.5936254980079685,0.38332925997590733,12.867796610169492,3796.0,0.19615474699153698,1.0,0.83,2.532394034490945,1.5809687500000003,0.0322185,0.0209667,0.0105708309684659,61.0,160.0,22.93214725609772
