galaxy,gal_ra,gal_dec,field,fd_ra,fd_dec,TRGB,TRGB_err,R,R_err,R_pm1,N,EDR_value,percentage,FWHM,slope,tip_color,A555/606,A814,int_ext,inc,pos_ang,dist2nuc
M101,210.80227,54.34895,M101,210.8283333,54.1558333,25.07000000000089,0.23114395117950923,3.7884615384615383,0.34101002285127197,5.23321554770318,1481.0,0.17878455835242105,1.0,0.26,4.457927584729575,1.290490909090909,0.016909,0.0110038,0.0107250791632466,8.0,29.0,22.540055758382515
M66,170.06235,12.99154,M66,170.1311667,12.9958361,26.237000000000968,0.05068618795743581,5.146762589928057,0.21335257321929924,9.911214953271028,8484.0,0.34100165992546844,1.0,0.61,2.425775792256376,1.6311595273264403,0.0655795,0.0426769,0.0101659179010637,57.0,7.0,24.02360675977596
M96,161.69058,11.81994,M96,161.7684484,11.8245514,26.26100000000097,0.06669685762165502,4.812345679012346,0.2628007582778448,9.22244488977956,4602.0,0.22944481003736306,1.0,0.7,2.326988205043635,1.629643734643735,0.0495845,0.0322679,0.0123195887395941,47.0,135.0,19.11144099849296
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,26.461000000000283,0.04000025335387554,9.0,3.3541019662496847,26.53846153846154,345.0,0.05613967820843902,0.619642011253664,0.22,2.611798287345392,2.5695555555555547,0.0922608,0.0511528,0.0388310365644705,46.0,175.0,4.872395270317277
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,26.73100000000033,0.0400570464387884,7.136363636363637,1.6245845564996395,21.677419354838708,672.0,0.07719402941904921,0.8520295301372759,0.33,2.468369504810427,2.499000000000001,0.0922608,0.0511528,0.0388310365644705,46.0,175.0,4.872395270317277
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.061000000000377,0.22756828290769412,3.8202247191011236,0.45486560088794403,11.76923076923077,1224.0,0.09060018073154341,1.0,0.31,2.471033549896421,2.3148571428571434,0.0922608,0.0511528,0.0388310365644705,46.0,175.0,4.872395270317277
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.581000000000458,0.6223557489643938,2.542134831460674,0.1590401717041696,4.736141906873614,2136.0,0.12286162295914152,1.3560858484729925,0.57,1.6410099102293538,2.146038461538461,0.0922608,0.0511528,0.0388310365644705,46.0,175.0,4.872395270317277
NGC1316,50.67383,-37.20823,NGC1316,50.802175,-37.3226694,27.421000000001193,0.045320544364688936,5.448377581120944,0.32192816879402536,11.39423076923077,4740.0,0.2570051709583596,1.0,0.66,3.0361320247842176,1.6812779456193352,0.0409015,0.0266173,0.0040950377946784,44.0,48.0,70.91592730068481
NGC1365,53.40155,-36.1404,NGC1365,53.4642833,-36.2013889,27.421000000001015,0.24635094982348496,3.616,0.16342071349740217,5.910926365795724,4977.0,0.2352172959013711,1.0,0.59,3.6079174540590766,1.3728413001912048,0.040216,0.0261712,0.0072781042286877,41.0,50.0,35.76103078634115
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,27.170000000000158,0.1389502783251818,4.294117647058823,0.5782016238740604,7.894117647058824,671.0,0.08999938299979192,1.0,0.66,2.1535762417590414,1.602878787878788,0.0221645,0.0144239,0.0206879822394491,26.0,163.0,10.310771036166622
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,25.87900000000097,0.9438992523149049,2.1153846153846154,0.5034586793216016,7.051282051282051,275.0,0.04150044067236097,0.9845572935487886,0.19,-4.609798621219142,1.2787272727272723,0.02742,0.017844,0.0045129137694747,78.0,44.0,63.1693978959077
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,26.589000000001086,0.5103936451114688,2.9901960784313726,0.34201634902296324,7.706766917293233,1025.0,0.07256041293533014,1.7214247034723575,0.63,5.200936283089026,1.5089625,0.02742,0.017844,0.0045129137694747,78.0,44.0,63.1693978959077
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,27.349000000001205,0.5410069142820216,2.765133171912833,0.15877172788200725,4.0112903225806456,2487.0,0.16024062790869614,3.8015518961806003,0.38,3.6717309046275037,1.3490836236933794,0.02742,0.017844,0.0045129137694747,78.0,44.0,63.1693978959077
