galaxy,gal_ra,gal_dec,field,fd_ra,fd_dec,TRGB,TRGB_err,R,R_err,R_pm1,N,EDR_value,percentage,FWHM,slope,tip_color,A555/606,A814,int_ext,inc,pos_ang,dist2nuc
M101,210.80227,54.34895,M101,210.8283333,54.1558333,25.07000000000089,0.26001576073063665,3.692857142857143,0.3518324583053718,5.165354330708661,1312.0,0.11573156657882039,1.0,0.56,4.4580907183605305,1.29430303030303,0.016909,0.0110038,0.0107250791632466,8.0,29.0,22.540055758382515
M66,170.06235,12.99154,M66,170.1311667,12.9958361,26.237000000000968,0.05068618795743581,5.146762589928057,0.21335257321929924,9.911214953271028,8484.0,0.29949612974990303,1.0,0.68,2.425775792256376,1.6311595273264403,0.0655795,0.0426769,0.0101659179010637,57.0,7.0,24.02360675977596
M96,161.69058,11.81994,M96,161.7684484,11.8245514,26.231000000000968,0.045238386913610276,5.462264150943396,0.3331694273388323,10.612090680100756,4213.0,0.208824305026017,1.0,0.73,2.3935370427944256,1.6361698113207543,0.0495845,0.0322679,0.0123195887395941,47.0,135.0,19.11144099849296
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.6100000000002,0.20029019385132332,3.9280575539568345,0.37318089911133034,7.716867469879518,1281.0,0.1075039517364539,1.0,0.71,1.48606881166448,2.207632478632479,0.0922608,0.0511528,0.0388310365644705,46.0,175.0,4.872395270317277
NGC1316,50.67383,-37.20823,NGC1316,50.802175,-37.3226694,27.421000000001193,0.04565938478666347,5.428571428571429,0.32568823169786887,11.350746268656716,4563.0,0.2138738865465811,1.0,0.8,3.0524734455916387,1.6816276923076923,0.0409015,0.0266173,0.0040950377946784,44.0,48.0,70.91592730068481
NGC1365,53.40155,-36.1404,NGC1365,53.4642833,-36.2013889,27.391000000001014,0.14965142661435277,4.0942408376963355,0.23366558236971896,6.775147928994083,3435.0,0.1787962960636379,1.0,0.66,3.6457824065487285,1.3828676923076926,0.040216,0.0261712,0.0072781042286877,41.0,50.0,35.76103078634115
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,27.16000000000016,0.09648827976084574,4.603174603174603,0.6398461004256732,8.375,670.0,0.0815410570695718,1.0,0.69,2.1513087128002875,1.598033333333333,0.0221645,0.0144239,0.0206879822394491,26.0,163.0,10.310771036166622
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,27.349000000001205,0.4056985370786836,3.2168141592920354,0.2449914888779348,4.773134328358209,1599.0,0.11349413157836032,1.0,0.54,3.969646725646582,1.3484329268292683,0.02742,0.017844,0.0045129137694747,78.0,44.0,63.1693978959077
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,26.93400000000065,0.3968564297643983,3.5294117647058822,0.9697227975515408,7.8,195.0,0.03595106735041296,1.0,0.57,4.93009215812621,1.7885333333333335,0.0313794,0.0173979,0.0258956659610024,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.454000000000732,0.8545026002581175,2.274193548387097,0.3465533018611253,4.734177215189874,374.0,0.03378474726000761,0.9397425375638961,0.39,5.837873901923731,1.597457142857143,0.0313794,0.0173979,0.0258956659610024,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.904000000000806,0.9528072903386569,1.7230769230769232,0.18998119352101794,2.7578947368421054,524.0,0.037652128816166204,1.0473160212233228,0.42,2.7353302322142885,1.5824459459459461,0.0313794,0.0173979,0.0258956659610024,60.0,105.0,7.892399493887002
