galaxy,gal_ra,gal_dec,field,fd_ra,fd_dec,TRGB,TRGB_err,R,R_err,R_pm1,N,EDR_value,percentage,FWHM,slope,tip_color,A555/606,A814,int_ext,inc,pos_ang,dist2nuc
M101,210.80227,54.34895,M101,210.8283333,54.1558333,25.080000000000886,0.11126986366899781,4.420634920634921,0.4360960286539112,5.922413793103448,1374.0,0.17989368441388714,1.0,0.26,4.37681605993949,1.2980654205607471,0.016909,0.0110038,0.0,8.0,29.0,22.540055758382515
M66,170.06235,12.99154,M66,170.1311667,12.9958361,26.219000000000968,0.04077029341246434,6.094713656387666,0.30861438311653727,12.477718360071302,7000.0,0.32624495997458514,1.0,0.64,3.116624706573914,1.5384036885245902,0.0655795,0.0426769,0.0,57.0,7.0,24.02360675977596
M96,161.69058,11.81994,M96,161.7684484,11.8245514,26.17100000000096,0.04014879911997022,6.697916666666667,0.5182100821793031,13.734939759036145,3420.0,0.21559872419332698,1.0,0.66,3.379146355264827,1.5283095238095241,0.0495845,0.0322679,0.0,47.0,135.0,19.11144099849296
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.614000000000267,0.2881169980768607,3.59375,0.3212163315284966,6.938144329896907,1346.0,0.12980691298072491,1.0,0.37,1.5186597059209839,2.27814598540146,0.0922608,0.0511528,0.0,46.0,175.0,4.872395270317277
NGC1316,50.67383,-37.20823,NGC1316,50.802175,-37.3226694,27.421000000001193,0.04097240933523738,6.059574468085106,0.4266545625616792,12.874125874125873,3682.0,0.24565396002838547,1.0,0.6,3.9590001784890303,1.5645816733067728,0.0409015,0.0266173,0.0,44.0,48.0,70.91592730068481
NGC1365,53.40155,-36.1404,NGC1365,53.4642833,-36.2013889,27.411000000001017,0.20387056332624343,3.8094262295081966,0.1937610622308579,6.343701399688958,4079.0,0.22451264779490362,1.0,0.56,4.450965349100439,1.331318944844125,0.040216,0.0261712,0.0,41.0,50.0,35.76103078634115
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,26.860000000000113,0.04002757931842947,7.411764705882353,1.9150490818659527,25.055555555555557,451.0,0.07411632345899381,0.8571284600453931,0.26,9.414512860896995,1.4733571428571433,0.0221645,0.0144239,0.0,26.0,163.0,10.310771036166622
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,27.200000000000166,0.15179807280313057,4.2272727272727275,0.5786230708775494,8.0,624.0,0.08647049644701875,1.0,0.45,2.499871330152125,1.557220588235294,0.0221645,0.0144239,0.0,26.0,163.0,10.310771036166622
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,27.36200000000094,0.4188886525448958,3.1666666666666665,0.2235597374952749,4.4987277353689565,1768.0,0.15419207769360635,1.0,0.34,4.128312427735168,1.3290990099009898,0.02742,0.017844,0.0,78.0,44.0,63.1693978959077
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,26.845000000000248,0.04000000539929801,10.333333333333334,4.417976744904677,23.88888888888889,215.0,0.0699850960053601,1.0,0.27,3.9712267890522197,2.134285714285714,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.10700000000019,0.04004136912569214,7.294117647058823,1.8864574627061257,15.375,369.0,0.0670583962400182,0.9470082406445716,0.19,1.5313531692898052,2.585352941176471,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.28700000000022,0.05521021635170032,5.222222222222222,0.9500559509911601,10.391304347826088,478.0,0.07081078428037288,1.0,0.46,1.356778959144711,2.5070789473684214,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,28.007000000000332,0.9334592243134784,1.6294642857142858,0.13830314375320893,2.28343949044586,717.0,0.0745174176559656,1.0523456054506675,0.26,1.6964511934006543,1.9418684210526314,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,26.857000000001072,0.191999783277536,3.788515406162465,0.15939910091904363,11.509025270758123,9564.0,0.22247549640674985,1.0,0.91,2.6650771223412053,1.443850847457627,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,27.50700000000117,0.5803390826533973,2.299522337735319,0.04617217773772253,2.5684121621621623,12164.0,0.32585083835412076,1.46465945066764,0.57,-99.0,1.2596933333333333,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4258,184.7396,47.30397,NGC4258-1,184.8291667,47.3333333,25.36000000000029,0.04006121779460536,7.0,0.6049901419820201,14.92056074766355,3193.0,0.2097471354674915,1.0,0.44,2.969750181638635,2.0728988095238097,0.0378162,0.0209667,0.0,61.0,160.0,18.48763623849455
NGC4258,184.7396,47.30397,NGC4258-10,184.6073157,47.2086766,25.2680000000004,0.04000000016312581,11.411764705882353,2.886481049227125,22.125,531.0,0.12352408344907977,1.0,0.32,4.68879361930604,1.3327499999999992,0.0322185,0.0209667,0.0,61.0,160.0,33.15894786321558
NGC4258,184.7396,47.30397,NGC4258-2,184.672956,47.491544,25.36700000000038,0.10764853481265944,4.420454545454546,0.36897333709629887,7.61003861003861,1971.0,0.14985413795677022,1.0,0.62,1.6930567473349576,2.2461870503597123,0.0378162,0.0209667,0.0,61.0,160.0,26.273954241696767
NGC4258,184.7396,47.30397,NGC4258-3,184.84,47.45,25.334000000000273,0.12987957013129006,4.380952380952381,0.749185210509275,8.727272727272727,480.0,0.09137187533629973,1.0,0.37,1.8899214035153173,1.9847631578947367,0.0378162,0.0209667,0.0,61.0,160.0,34.809440448443915
NGC4258,184.7396,47.30397,NGC4258-4_G1,184.879161,47.353293,25.30400000000028,0.04757799748610115,5.40625,0.6006401885219705,11.17741935483871,1386.0,0.1374841272787841,1.0,0.58,2.041173399414832,2.0410210526315784,0.0378162,0.0209667,0.0,61.0,160.0,29.1592018756835
NGC4258,184.7396,47.30397,NGC4258-4_G2,184.918385,47.32009,25.288000000000302,0.04055080680731095,6.352941176470588,0.9570461374352477,12.527777777777779,902.0,0.14392719971728835,1.0,0.35,2.1258508292313696,2.0590535714285716,0.0378162,0.0209667,0.0,61.0,160.0,33.0534913558453
NGC4258,184.7396,47.30397,NGC4258-5,184.6405942,47.2485588,25.441000000000187,0.040137274696030345,6.748031496062992,0.6416266273162833,16.6734693877551,2451.0,0.19261087099621152,1.0,0.46,3.3576273082292016,1.4245140845070423,0.0322185,0.0209667,0.0,61.0,160.0,22.93214725609772
NGC4258,184.7396,47.30397,NGC4258-6,184.9011597,47.2432783,25.60200000000021,0.04002785393551986,7.25,0.5581428468591173,19.143564356435643,3867.0,0.21087390864635935,1.0,0.87,3.5606023811977883,1.399759825327511,0.0322185,0.0209667,0.0,61.0,160.0,25.9322454908549
