galaxy,gal_ra,gal_dec,field,fd_ra,fd_dec,TRGB,TRGB_err,R,R_err,R_pm1,N,EDR_value,percentage,FWHM,slope,tip_color,A555/606,A814,int_ext,inc,pos_ang,dist2nuc
M101,210.80227,54.34895,M101,210.8283333,54.1558333,25.07000000000089,0.29228556381412757,3.566473988439306,0.3068223365972419,4.923076923076923,1536.0,0.1233177699391357,1.0,0.51,4.178174866334846,1.3174249999999998,0.016909,0.0110038,0.0107250791632466,8.0,29.0,22.540055758382515
M66,170.06235,12.99154,M66,170.1311667,12.9958361,26.247000000000973,0.08213647225144705,4.549086757990867,0.16975431175120823,8.43028624192059,9130.0,0.3005762650007673,1.0,0.68,2.010783134792343,1.7042945638432367,0.0655795,0.0426769,0.0101659179010637,57.0,7.0,24.02360675977596
M96,161.69058,11.81994,M96,161.7684484,11.8245514,26.238000000001065,0.07537834928423355,4.680365296803653,0.24637177520403244,8.80255941499086,4815.0,0.21563821932493543,1.0,0.72,2.0586332037857664,1.667139705882353,0.0495845,0.0322679,0.0123195887395941,47.0,135.0,19.11144099849296
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.59200000000078,0.6663322922316152,2.3707093821510297,0.13522565560244848,3.958053691275168,2359.0,0.10194177253435419,6.9088423295679755,1.15,1.8761902570711602,2.0245917602996255,0.0922608,0.0511528,0.0388310365644705,46.0,175.0,4.872395270317277
NGC1316,50.67383,-37.20823,NGC1316,50.802175,-37.3226694,27.441000000001196,0.0737901209719209,4.695278969957082,0.23954948584996694,9.114186851211073,5268.0,0.2271448806456295,1.0,0.78,2.171665775630949,1.7638659090909095,0.0409015,0.0266173,0.0040950377946784,44.0,48.0,70.91592730068481
NGC1365,53.40155,-36.1404,NGC1365,53.4642833,-36.2013889,27.396000000001422,0.27327338866980416,3.5089820359281436,0.15390105385550865,5.877505567928731,5278.0,0.2049428607651906,1.0,0.7,3.243037984092859,1.393126953125,0.040216,0.0261712,0.0072781042286877,41.0,50.0,35.76103078634115
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,27.16600000000026,0.1388566826132095,4.291666666666667,0.5616205401984863,7.626373626373627,694.0,0.0849910719312979,1.0,0.65,1.9464844989693761,1.6407391304347825,0.0221645,0.0144239,0.0206879822394491,26.0,163.0,10.310771036166622
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,26.389000000001055,0.17103436408593137,4.109375,0.5727720135804609,7.480392156862745,763.0,0.07350391349692884,1.0,0.74,15.284627719948599,1.3680909090909097,0.02742,0.017844,0.0045129137694747,78.0,44.0,63.1693978959077
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,27.349000000001205,0.5934797902095532,2.5902335456475583,0.1405142463680047,3.7440225035161743,2662.0,0.12524274725201168,1.703892232312836,0.58,3.615174119637153,1.3263656957928802,0.02742,0.017844,0.0045129137694747,78.0,44.0,63.1693978959077
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.214000000000695,0.353346491720325,3.4299065420560746,0.37683092504222476,6.566433566433567,939.0,0.07924716956632798,1.0,0.87,3.038753408261682,1.8623000000000005,0.0313794,0.0173979,0.0258956659610024,60.0,105.0,7.892399493887002
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,25.800000000000743,1.2163079174903162,2.111111111111111,0.6040557937148181,4.222222222222222,114.0,0.017274361108402372,0.9055852058022487,0.29,13.466607511026465,1.9515833333333328,0.0708048,0.0392568,0.0160555110137923,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,26.1600000000008,0.929403603910375,2.2857142857142856,0.5179011240999803,5.071428571428571,213.0,0.02825634918588317,1.4813011973144272,0.47,6.855779184873209,1.9914705882352943,0.0708048,0.0392568,0.0160555110137923,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.310000000000983,0.6553100817131483,2.561224489795918,0.215722509031128,4.351449275362318,1201.0,0.0793264430350853,4.1585823516532905,0.77,2.278127887239314,1.9356906474820141,0.0708048,0.0392568,0.0160555110137923,56.0,155.0,13.942974427812995
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,26.776000000001076,0.2756372590432364,3.3979933110367893,0.09998110809135703,7.619450317124736,14416.0,0.29010260741285665,1.0,0.92,2.4900117487986835,1.4469653679653678,0.090943,0.0591826,0.0036583905761011,44.0,159.0,81.10335861558856
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,27.536000000001195,0.6573402070310331,1.7305096913137115,0.026046436754961447,1.7228115396054327,17378.0,0.24864585545046178,0.8570962449041484,0.56,-99.0,1.1831684871654833,0.090943,0.0591826,0.0036583905761011,44.0,159.0,81.10335861558856
NGC4258,184.7396,47.30397,NGC4258-1,184.8291667,47.3333333,25.39400000000034,0.04866775344536543,5.231304347826087,0.23810063465178533,10.407310704960835,7972.0,0.284681297438147,1.0,0.72,1.9847465120707348,2.2698297101449274,0.0378162,0.0209667,0.0126678329964179,61.0,160.0,18.48763623849455
