galaxy,gal_ra,gal_dec,field,fd_ra,fd_dec,TRGB,TRGB_err,R,R_err,R_pm1,N,EDR_value,percentage,FWHM,slope,tip_color,A555/606,A814,int_ext,inc,pos_ang,dist2nuc
M101,210.80227,54.34895,M101,210.8283333,54.1558333,25.080000000000886,0.09729512657585869,4.547169811320755,0.4878130161443859,6.441489361702128,1211.0,0.1591285616348475,1.0,0.29,4.681770282721913,1.287820224719101,0.016909,0.0110038,0.0,8.0,29.0,22.540055758382515
M66,170.06235,12.99154,M66,170.1311667,12.9958361,26.209000000000962,0.040304769061961836,6.421828908554573,0.3749600389300179,13.992665036674817,5723.0,0.2972556514695552,1.0,0.65,3.6158796158851256,1.4873862433862433,0.0655795,0.0426769,0.0,57.0,7.0,24.02360675977596
M96,161.69058,11.81994,M96,161.7684484,11.8245514,26.181000000000957,0.04007483779783052,6.947761194029851,0.6419370569605956,14.702857142857143,2573.0,0.1793369632786136,1.0,0.42,3.7504660624894965,1.4427354838709678,0.0495845,0.0322679,0.0,47.0,135.0,19.11144099849296
M96,161.69058,11.81994,M96,161.7684484,11.8245514,26.421000000000994,0.3004626699053564,3.466501240694789,0.19600939419195454,6.72258064516129,3126.0,0.169828672893379,0.9469808665686908,0.31,3.4297088392110746,1.4125070028011206,0.0495845,0.0322679,0.0,47.0,135.0,19.11144099849296
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.670000000000208,0.18205037710132002,4.043478260869565,0.4708132961786806,7.954954954954955,883.0,0.11807205113478776,1.0,0.3,1.397328236240406,2.377243902439024,0.0922608,0.0511528,0.0,46.0,175.0,4.872395270317277
NGC1316,50.67383,-37.20823,NGC1316,50.802175,-37.3226694,27.417000000000492,0.04043507002792988,6.348571428571429,0.5163217746009883,13.763033175355451,2904.0,0.21607377837312533,1.0,0.63,4.641580920803118,1.538095744680851,0.0409015,0.0266173,0.0,44.0,48.0,70.91592730068481
NGC1365,53.40155,-36.1404,NGC1365,53.4642833,-36.2013889,27.401000000001012,0.1164929215256454,4.330960854092527,0.28664324779784006,7.154696132596685,2590.0,0.1988183849037371,1.0,0.5,4.473954600792625,1.2890551181102363,0.040216,0.0261712,0.0,41.0,50.0,35.76103078634115
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,26.90000000000012,0.040725511880160534,6.333333333333333,1.6063146994223287,18.4,368.0,0.06352147839660793,0.8583281656770992,0.24,9.656038333746176,1.362411764705882,0.0221645,0.0144239,0.0,26.0,163.0,10.310771036166622
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,27.22000000000017,0.2123153248009236,3.9642857142857144,0.5928118067248828,7.818181818181818,516.0,0.0740060514576013,1.0,0.47,3.4720472480624083,1.4397692307692305,0.0221645,0.0144239,0.0,26.0,163.0,10.310771036166622
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,27.36200000000094,0.28733218495715895,3.607361963190184,0.31932081197615925,5.162393162393163,1208.0,0.14761202778343085,1.0,0.31,5.10220454926899,1.2910225563909776,0.02742,0.017844,0.0,78.0,44.0,63.1693978959077
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.17600000000016,0.4123267631370093,3.533333333333333,1.033369175005647,10.8,162.0,0.04974178226526974,1.0,0.2,1.6160956299604141,2.394461538461538,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,28.466000000000363,1.1009335355211343,1.5177304964539007,0.16462371355943842,1.0807174887892377,241.0,0.044615127338578545,0.8969346353664798,0.19,-99.0,1.6398461538461537,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.422000000000303,0.8271471301305794,2.466666666666667,0.5338885998380534,6.725,269.0,0.04201848902489139,1.0414799902062826,0.45,2.453199380859198,2.1315238095238103,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.98200000000039,0.8429200398237501,2.2906976744186047,0.29605926319850945,3.347457627118644,395.0,0.0841861051640486,2.0866562795682313,0.24,2.3871527777777803,1.8602499999999997,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,26.697000000000976,0.040461067710610185,6.295918367346939,0.4841071439407888,19.86864406779661,4689.0,0.19742150869520655,1.0,0.38,3.998349864853718,1.4353743842364537,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,26.967000000001022,0.25602533128936594,3.5357142857142856,0.16514778887387258,11.466765140324963,7763.0,0.1850777563585133,0.9374751392678778,0.33,2.571358521457038,1.4184124999999999,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,27.507000000001106,0.5178606268991752,2.622791519434629,0.06478363988913267,2.9087207329487614,8572.0,0.3220388454751629,1.6312247211743758,0.49,-99.0,1.2643082952318745,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4258,184.7396,47.30397,NGC4258-1,184.8291667,47.3333333,25.330000000000283,0.0406173997234971,6.277777777777778,0.7965923222366413,15.288659793814434,1483.0,0.14306588145630406,1.0,0.42,3.0485140359971132,2.029576923076924,0.0378162,0.0209667,0.0,61.0,160.0,18.48763623849455
NGC4258,184.7396,47.30397,NGC4258-1,184.8291667,47.3333333,25.760000000000353,0.6120941163636386,2.5452127659574466,0.15491350357632833,5.675862068965517,2469.0,0.11746581799692461,0.8210610160941947,0.41,2.8150979346453813,1.8973295454545454,0.0378162,0.0209667,0.0,61.0,160.0,18.48763623849455
