galaxy,gal_ra,gal_dec,field,fd_ra,fd_dec,TRGB,TRGB_err,R,R_err,R_pm1,N,EDR_value,percentage,FWHM,slope,tip_color,A555/606,A814,int_ext,inc,pos_ang,dist2nuc
M101,210.80227,54.34895,M101,210.8283333,54.1558333,25.080000000000886,0.09729512657585869,4.547169811320755,0.4878130161443859,6.441489361702128,1211.0,0.11433026659648775,1.0,0.57,4.681770282721913,1.287820224719101,0.016909,0.0110038,0.0,8.0,29.0,22.540055758382515
M66,170.06235,12.99154,M66,170.1311667,12.9958361,26.199000000000964,0.040209952115018294,6.547692307692308,0.38995055648674753,14.47704081632653,5675.0,0.25570483796403404,1.0,0.72,3.5862438758066015,1.490809659090909,0.0655795,0.0426769,0.0,57.0,7.0,24.02360675977596
M96,161.69058,11.81994,M96,161.7684484,11.8245514,26.241000000000966,0.04169517475528992,5.889502762430939,0.47347163567119044,12.06140350877193,2750.0,0.16459144422419442,1.0,0.78,3.3742516363499435,1.4513041237113402,0.0495845,0.0322679,0.0,47.0,135.0,19.11144099849296
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.650000000000205,0.14300598582688454,4.247058823529412,0.5120267395826401,8.466019417475728,872.0,0.08814586856621988,1.0,0.75,1.397703910519829,2.3887027027027026,0.0922608,0.0511528,0.0,46.0,175.0,4.872395270317277
NGC1316,50.67383,-37.20823,NGC1316,50.802175,-37.3226694,27.417000000000492,0.04043507002792988,6.348571428571429,0.5163217746009883,13.763033175355451,2904.0,0.18132486504528422,1.0,0.77,4.641580920803118,1.538095744680851,0.0409015,0.0266173,0.0,44.0,48.0,70.91592730068481
NGC1365,53.40155,-36.1404,NGC1365,53.4642833,-36.2013889,27.37100000000101,0.08167696855382209,4.649402390438247,0.3234915651815825,7.8128834355828225,2547.0,0.1720712393809023,1.0,0.58,4.491178754017379,1.2939785407725326,0.040216,0.0261712,0.0,41.0,50.0,35.76103078634115
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,27.150000000000155,0.07388875313006592,4.878048780487805,0.8362723428100058,9.607843137254902,490.0,0.0680204863318129,1.0,0.73,3.0223491420553534,1.478775,0.0221645,0.0144239,0.0,26.0,163.0,10.310771036166622
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,27.352000000000942,0.28333007510008795,3.62111801242236,0.32239027381095225,5.230434782608696,1203.0,0.1111863277352453,1.0,0.52,4.766428345249404,1.3064545454545453,0.02742,0.017844,0.0,78.0,44.0,63.1693978959077
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.16600000000016,0.3423233725398902,3.7142857142857144,1.1183598986792047,11.285714285714286,158.0,0.030096510113272922,0.9949203530656466,0.43,1.6490658526963844,2.3806,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.776000000000252,0.793817121737657,2.5,0.41020632707118354,4.24,318.0,0.032687987659446804,1.0805885499927033,0.69,1.7685458681783695,2.013827586206897,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
