galaxy,gal_ra,gal_dec,field,fd_ra,fd_dec,TRGB,TRGB_err,R,R_err,R_pm1,N,EDR_value,percentage,FWHM,slope,tip_color,A555/606,A814,int_ext,inc,pos_ang,dist2nuc
M101,210.80227,54.34895,M101,210.8283333,54.1558333,25.080000000000886,0.29521997204507633,3.5686274509803924,0.32643578610522866,4.903225806451613,1368.0,0.2279952136601522,1.0,0.19,4.71441247128707,1.2913097345132742,0.016909,0.0110038,0.0,8.0,29.0,22.540055758382515
M66,170.06235,12.99154,M66,170.1311667,12.9958361,26.267000000000976,0.09760725706067586,4.3882352941176475,0.15902390864086988,7.946689595872743,9242.0,0.37278973486740447,1.0,0.46,2.0149426327715,1.695825934579439,0.0655795,0.0426769,0.0,57.0,7.0,24.02360675977596
M66,170.06235,12.99154,M66,170.1311667,12.9958361,26.467000000001008,0.5288200839134408,2.5545219638242895,0.06850226585771323,4.240068346860316,9926.0,0.25503791094299055,0.6841334057486953,0.16,1.8081545105907488,1.6528544061302681,0.0655795,0.0426769,0.0,57.0,7.0,24.02360675977596
M96,161.69058,11.81994,M96,161.7684484,11.8245514,26.188000000001054,0.0487939887293735,5.268882175226586,0.3158932166495786,10.475728155339805,4316.0,0.23148488645036128,0.9465518546903284,0.3,2.3135420263044644,1.661582524271845,0.0495845,0.0322679,0.0,47.0,135.0,19.11144099849296
M96,161.69058,11.81994,M96,161.7684484,11.8245514,26.298000000001075,0.12937292358641247,4.19438877755511,0.20895429112902464,7.577922077922078,4668.0,0.2445559483120904,1.0,0.36,1.9067535552637904,1.6659382716049382,0.0495845,0.0322679,0.0,47.0,135.0,19.11144099849296
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.009000000000142,0.04033622302840928,6.545454545454546,1.498308588073203,25.72,643.0,0.08730852293071038,0.5892230799278912,0.19,1.6332060768111485,2.616375,0.0922608,0.0511528,0.0,46.0,175.0,4.872395270317277
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.299000000000184,0.09590099763098389,4.573529411764706,0.6122607659087742,13.102564102564102,1022.0,0.0979578453749589,0.6610926564493627,0.24,1.5966719568962597,2.3104655172413793,0.0922608,0.0511528,0.0,46.0,175.0,4.872395270317277
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.639000000000237,0.43123624844330827,3.1614583333333335,0.26176760055772863,6.008583690987124,1400.0,0.14817566708587712,1.0,0.29,1.503381293820665,2.157092715231788,0.0922608,0.0511528,0.0,46.0,175.0,4.872395270317277
NGC1316,50.67383,-37.20823,NGC1316,50.802175,-37.3226694,27.411000000001195,0.054077607777066425,5.075757575757576,0.2790635157400859,10.014056224899598,4987.0,0.30239663501226377,1.0,0.39,2.4823131729035577,1.7362297297297296,0.0409015,0.0266173,0.0,44.0,48.0,70.91592730068481
NGC1316,50.67383,-37.20823,NGC1316,50.802175,-37.3226694,27.75100000000125,0.657239889724283,2.1842496285289745,0.07188398729008157,3.3581715716969316,5363.0,0.17200674770920113,0.5688117121482696,0.28,1.722697327734785,1.7126084656084655,0.0409015,0.0266173,0.0,44.0,48.0,70.91592730068481
NGC1365,53.40155,-36.1404,NGC1365,53.4642833,-36.2013889,27.13600000000138,0.15890147925811304,4.0548523206751055,0.2940814180380523,9.336477987421384,2969.0,0.14072936583063703,0.6355474089438821,0.23,3.701815197467766,1.4411890243902437,0.040216,0.0261712,0.0,41.0,50.0,35.76103078634115
NGC1365,53.40155,-36.1404,NGC1365,53.4642833,-36.2013889,27.396000000001422,0.21902303258591202,3.7539503386004514,0.20071032709463513,6.18013468013468,3671.0,0.22143016217231282,1.0,0.42,3.4620249674598016,1.3660870786516857,0.040216,0.0261712,0.0,41.0,50.0,35.76103078634115
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,26.536000000000165,0.04384249030423936,5.777777777777778,2.085944865233885,30.3,303.0,0.06747851099499147,0.6135244740513246,0.13,2.68132870624349,1.8716666666666664,0.0221645,0.0144239,0.0,26.0,163.0,10.310771036166622
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,26.936000000000227,0.04171747087262726,6.0,1.1281521496355325,14.923076923076923,582.0,0.08580921093475365,0.7801898742462101,0.26,4.271321176327134,1.5581874999999996,0.0221645,0.0144239,0.0,26.0,163.0,10.310771036166622
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,27.16600000000026,0.1388566826132095,4.291666666666667,0.5616205401984863,7.626373626373627,694.0,0.10998503539623512,1.0,0.24,1.9464844989693761,1.6407391304347825,0.0221645,0.0144239,0.0,26.0,163.0,10.310771036166622
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,27.316000000000287,0.5919469877026369,2.8346456692913384,0.29255676802546837,4.7368421052631575,720.0,0.09360938243850717,0.8511101724090684,0.15,1.9380076882061426,1.5421636363636362,0.0221645,0.0144239,0.0,26.0,163.0,10.310771036166622
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,26.249000000001033,0.07760647633976182,4.863636363636363,1.138551612622616,9.243243243243244,342.0,0.09948206382694777,1.0,0.18,11.77654947100483,1.3648500000000008,0.02742,0.017844,0.0,78.0,44.0,63.1693978959077
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,26.48900000000107,0.373418335516494,3.4375,0.5637284040578997,7.785714285714286,545.0,0.05366743867285009,0.5394684891761626,0.18,8.262328943971117,1.4208333333333332,0.02742,0.017844,0.0,78.0,44.0,63.1693978959077
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,26.679000000001096,0.6838438470729719,2.5697674418604652,0.32660110345849824,7.154545454545454,787.0,0.06807433510448516,0.6842875236575574,0.18,3.8590746531687623,1.5157192982456138,0.02742,0.017844,0.0,78.0,44.0,63.1693978959077
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,26.979000000001143,0.7178797456360042,2.356687898089172,0.22446916499246583,6.019512195121951,1234.0,0.07808558974938994,0.7849212887784708,0.21,2.6506923959666833,1.4936888888888888,0.02742,0.017844,0.0,78.0,44.0,63.1693978959077
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,27.369000000001208,0.49720956399313576,2.948148148148148,0.207629706462834,4.312655086848635,1738.0,0.20880313494472455,2.0989023238193396,0.2,3.923516854675584,1.3043846153846153,0.02742,0.017844,0.0,78.0,44.0,63.1693978959077
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,27.699000000001256,0.8464798181736704,1.6163194444444444,0.0856836071825606,2.2014833127317677,1781.0,0.07993622406072118,0.8035239819689788,0.16,2.5334312846475453,1.2639183673469387,0.02742,0.017844,0.0,78.0,44.0,63.1693978959077
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,26.87800000000081,0.25544892034098304,3.9,0.9774968030638258,7.548387096774194,234.0,0.08640356423890691,1.0,0.15,33.807638814592885,1.59325,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.188000000000862,0.6714865128291377,2.7708333333333335,0.46655543379209075,5.854838709677419,363.0,0.06662645922245365,0.7711077640064787,0.17,3.6053719486507516,1.587575757575758,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.498000000000907,0.8684285308977022,2.1235955056179776,0.27300354726877707,4.177966101694915,493.0,0.07420286101939819,0.8587939823202938,0.2,13.657032964608028,1.4517592592592596,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.928000000000978,0.9242234609032399,1.7251461988304093,0.16580964930353223,2.6600790513833994,673.0,0.08763499799648165,1.014252117588226,0.18,2.052103221038369,1.5142755102040817,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,26.64300000000039,1.0870847759917812,2.0555555555555554,0.5907088113976511,7.190476190476191,151.0,0.037790271669855935,0.5860888333499447,0.18,16.971481711097393,2.113333333333333,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.063000000000457,0.504680278003774,3.193548387096774,0.6572744231667618,6.586956521739131,303.0,0.046822757202322124,0.7261735343603395,0.17,5.852363076015165,1.9513333333333331,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.363000000000504,0.5703828129571797,2.9655172413793105,0.45028362231194535,5.7875,463.0,0.05720590405274552,0.8872056242386444,0.37,1.6753020202819748,2.100795454545455,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.653000000000553,0.8826917829152654,1.9915254237288136,0.22469751677112623,3.770700636942675,592.0,0.055524425957772613,0.8611276022652735,0.15,1.3469766370578469,2.0527432432432433,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.993000000000606,0.8996221179296087,1.8333333333333333,0.1671140947647928,2.6217228464419478,700.0,0.11586549182007355,1.796956410358702,0.19,1.3490145680033805,1.801336633663366,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,26.521000000001095,0.0490330351732885,5.241830065359477,0.32699169753939145,13.315533980582524,5486.0,0.1734105118077012,0.5996541792660484,0.2,6.453321034130673,1.3948536585365854,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,26.74100000000113,0.08799671640123168,4.495098039215686,0.20090076738425452,10.325459317585302,7868.0,0.28918419616444335,1.0,0.41,2.7717819045290897,1.4538611111111113,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,26.981000000001167,0.5127985878269363,2.601546029515109,0.0811442577416417,6.24793388429752,10584.0,0.2257639985479829,0.7806927264434712,0.15,1.6784279768730304,1.5292384823848237,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,27.52100000000125,0.6765868248973874,1.8338485316846986,0.03658830428596149,1.9196135617936565,10531.0,0.2848834938181352,0.9851281556760364,0.38,-99.0,1.239894685519259,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4258,184.7396,47.30397,NGC4258-1,184.8291667,47.3333333,25.340000000000288,0.04070544805379222,6.191780821917808,0.5522676203095529,13.004926108374384,2640.0,0.21864932125121864,1.0,0.23,2.221521773405554,2.2612608695652177,0.0378162,0.0209667,0.0,61.0,160.0,18.48763623849455
NGC4258,184.7396,47.30397,NGC4258-1,184.8291667,47.3333333,25.48000000000031,0.09168288270310741,4.52851711026616,0.3085350170748323,9.068249258160238,3056.0,0.19231768990376583,0.8795714013802087,0.18,2.018194224320115,2.224406015037594,0.0378162,0.0209667,0.0,61.0,160.0,18.48763623849455
NGC4258,184.7396,47.30397,NGC4258-1,184.8291667,47.3333333,25.730000000000345,0.6016258722155678,2.492354740061162,0.11536530789893229,4.877763328998699,3751.0,0.13624952248432795,0.6231417582485113,0.34,1.7003770750342484,2.177122055674518,0.0378162,0.0209667,0.0,61.0,160.0,18.48763623849455
NGC4258,184.7396,47.30397,NGC4258-10,184.6073157,47.2086766,25.299000000000966,0.04000179615939654,8.290322580645162,1.5762324524801599,16.414634146341463,673.0,0.16768562259692243,1.0,0.26,4.097400060766526,1.3541249999999998,0.0322185,0.0209667,0.0,61.0,160.0,33.15894786321558
NGC4258,184.7396,47.30397,NGC4258-2,184.672956,47.491544,25.332000000000605,0.09790383443491697,4.517241379310345,0.4145850526961408,7.5,1650.0,0.18802990467195319,1.0,0.39,2.0309882063504645,2.146183333333333,0.0378162,0.0209667,0.0,61.0,160.0,26.273954241696767
